"","SVSPP","YEAR","N","strat.biomass","biomass.var","biomass.SE","strat.abund","abund.var","abund.SE","tot.biomass","tot.bio.var","tot.bio.SE","tot.abundance","tot.abund.var","tot.abund.SE","RPATH","SCINAME","Fall.q","biomass.t_area"
"27",1,2016,40,0.000880307673836334,1.97197872163492e-06,0.00140427159824406,0.0139731376799418,0.000496845230948582,0.0222900253689533,825.510376168577,1734116.70514654,1316.85865040502,13103,436915269.626239,20902.5182603972,"OtherDemersals","MYXINE GLUTINOSA",0.145,0.000158101234525204
"28",1,2018,42,0.000514312799018903,2.20806848386722e-06,0.00148595709354854,0.00634954072862844,0.00033654450295187,0.0183451493030684,482.297911065744,1941729.08762787,1393.45939575858,5954,295950173.392451,17203.2024167726,"OtherDemersals","MYXINE GLUTINOSA",0.145,9.23693963755215e-05
"29",1,2019,43,0.00106604492190002,6.92356813093861e-06,0.00263126740012082,0.00761460658500018,0.000353243271986663,0.0187947671437202,999.685871935163,6088440.52086259,2467.47654920216,7141,310634720.452173,17624.8324943011,"OtherDemersals","MYXINE GLUTINOSA",0.145,0.000191459217295263
"30",1,2021,42,0.00319228759472927,6.56311478787636e-05,0.00810130531943857,0.0520613916853992,0.0168566286057065,0.129833079782105,2993.57441890616,57714654.152124,7597.01613478107,48821,14823365453.6453,121751.244156457,"OtherDemersals","MYXINE GLUTINOSA",0.145,0.000573327513421204
"31",3,1979,51,0.711362102220967,0.632445605449857,0.795264487733394,0.0165433047028132,0.000342047379907981,0.018494522970544,667081.310375671,556159393341.648,745760.949193271,15514,300789287.907868,17343.2778882156,"Sharks","CARCHARHINUS OBSCURUS",0.199,0.0930907273635059
"32",3,1986,38,0.878867573754845,0.764622185207276,0.874426775211782,0.0292955857918282,0.000849580205785862,0.0291475591737261,824159.919282509,672392703808.833,819995.551090878,27472,747103004.232037,27333.1850363626,"Sharks","CARCHARHINUS OBSCURUS",0.199,0.115010936682742
"33",4,1993,33,2.87749980869084,10.2920104571264,3.20811634095873,0.0287749980869084,0.00102920104571264,0.0320811634095873,2646981.05932963,8709059934549.01,2951111.64386389,26470,870905993.454901,29511.1164386389,"Rays","DASYATIS CENTROURA",0.144,0.510468641853864
"34",4,1994,34,3.28110560868475,12.0406283128883,3.46996085178036,0.0292955857918282,0.000959871517290201,0.0309817933194675,3076863.6986547,10588275861581.8,3253963.10083286,27472,844090869.067428,29053.241971722,"Rays","DASYATIS CENTROURA",0.144,0.59337123999652
"35",4,2001,33,3.1944786513041,9.74626997849598,3.12190166060624,0.0347225940359141,0.00115149692562571,0.0339337137022417,2995629.08682631,8570665290224.7,2927569.86086151,32561,1012602231.83184,31821.4115311034,"Rays","DASYATIS CENTROURA",0.144,0.577705195910029
"36",4,2010,45,1.0008594827552,0.481470735516252,0.693880923153427,0.0540129240558664,0.00112293433115817,0.0335102123412874,938558.089015075,423395260982.181,650688.297867866,50651,987484885.653069,31424.2722374452,"Rays","DASYATIS CENTROURA",0.144,0.181000340486691
"37",4,2014,42,5.21387672349442,12.0210540959918,3.46713918036064,0.0843538845413257,0.00350650087684695,0.0592157147794988,4889323.88439985,10571062706014.8,3251317.07251305,79103,3083543285.95896,55529.661316804,"Rays","DASYATIS CENTROURA",0.144,0.942903053293984
"38",4,2015,42,2.40956193137787,5.89056217887205,2.42704803802316,0.0256336375678496,0.000666654841429612,0.0258196599789697,2259571.77869955,5180036764604.38,2275969.41205377,24038,586242277.569531,24212.4405537635,"Rays","DASYATIS CENTROURA",0.144,0.435757004372444
"39",4,2019,43,1.06945589630615,0.821507921828903,0.906370741931194,0.0347225940359141,0.000865984906633605,0.0294276214912725,1002884.52037229,722416826826.927,849951.073195938,32561,761528953.899189,27595.8140648032,"Rays","DASYATIS CENTROURA",0.144,0.193405652543792
"40",6,1989,33,69.4451880718282,4605.98770250283,67.8674274044834,0.0347225940359141,0.00115149692562571,0.0339337137022417,65122371.452746,4050408927327365,63642823.0622068,32561,1012602231.83184,31821.4115311034,"Sharks","CETORHINUS MAXIMUS",0.175,10.3341053678316
"41",6,2011,40,132.346437622505,14153.7776681943,118.969650197831,0.0330866094056264,0.000884611104262143,0.0297424125494578,124108150.767567,12446535059463862,111564040.17184,31027,777908441.216491,27891.0100429599,"Sharks","CETORHINUS MAXIMUS",0.175,19.6944103604919
"42",6,2012,43,31.8996378622129,1132.22092162028,33.6484906291542,0.0227854556158664,0.00057766373552055,0.0240346361636816,29913952.6258096,995651318423116,31553942.9932792,21367,507985366.542406,22538.5307094852,"Sharks","CETORHINUS MAXIMUS",0.175,4.74696991997216
"43",8,1998,33,0,0,0,0.0190486221858853,0,0,0,0,0,17863,0,0,"Sharks","ETMOPTERUS PRINCEPS",0.144,0
"44",9,1988,31,2.25648416711842,2.85780661752633,1.69050484102422,0.0652613180180205,0.00233460335718512,0.0483177333614183,2075715.46416787,2418265043265.09,1555077.18241414,60033,1975532442.93937,44446.9621339791,"Sharks","CARCHARHINUS PLUMBEUS",0.199,0.289664632112457
"45",9,1990,33,1.86843585696281,1.52491148534351,1.23487306446594,0.0933137656195704,0.00280487294061751,0.0529610511660929,1752129.66212878,1340975159413.29,1158004.8183895,87505,2466546402.74502,49664.3373331913,"Sharks","CARCHARHINUS PLUMBEUS",0.199,0.244508461181272
"46",9,1996,33,1.08586132200864,2.36560174811059,1.53805128266602,0.0241302516001919,0.00116819839412869,0.0341789173925782,1018268.74289513,2080260534313.16,1442310.83137899,22628,1027289152.74724,32051.351808422,"Sharks","CARCHARHINUS PLUMBEUS",0.199,0.142098686401884
"47",9,2015,42,0.815980959843981,0.490414122422071,0.700295739257402,0.0347225940359141,0.000888029194064411,0.0297998186918043,765187.864569765,431259887747.074,656703.805186991,32561,780914237.658803,27944.8427739145,"Sharks","CARCHARHINUS PLUMBEUS",0.199,0.106781427952782
"48",11,2009,46,0.000412720147360848,1.23607739336664e-06,0.00111179017506301,0.0126990814572569,0.00117025078661931,0.0342089284634773,387.029187892264,1086980.52021269,1042.58357948545,11909,1029093983.63332,32079.4947533985,"Sharks","SELACHIMORPHA",0.175,6.14166885953644e-05
"49",12,1967,43,0.613046688034083,0.347070393086068,0.589126805608154,0.216051696223466,0.0431068042413172,0.207621781712125,574885.823546741,305206420286.999,552454.903396648,202603,37907219038.5374,194697.763311594,"Sharks","CARCHARIAS TAURUS",0.199,0.0802249120647617
"50",13,1964,32,0.677793363982807,0.184859523322828,0.429952931520216,0.319117197265358,0.0309062641016513,0.175801775024177,635602.155355105,162561585468.715,403189.2675515,299253,27178320072.2926,164858.484987254,"SmoothDogfish","MUSTELUS CANIS",0.199,0.0886978334357736
"51",13,1967,43,0.488816962705591,0.220659689648405,0.469744281123682,0.135032310139666,0.0168385954067645,0.129763613570078,458389.136836828,194043500456.488,440503.689492481,126627,14807507436.9287,121686.102069746,"SmoothDogfish","MUSTELUS CANIS",0.199,0.0639678814260876
"52",13,1968,40,0.347350723145821,0.0435379497541528,0.208657493884482,0.15718695125637,0.00919224960669312,0.0958762202357452,325728.872584888,38286359354.7865,195669.004583727,147402,8083471401.57143,89908.1275612579,"SmoothDogfish","MUSTELUS CANIS",0.199,0.0454552349175331
"53",13,1969,38,1.29533578334041,0.933228673976801,0.96603761519767,0.42285247614343,0.103135113876775,0.321146561365328,1214703.86042411,820661711766.955,905903.809334609,396531,90694854817.0067,301155.864656504,"SmoothDogfish","MUSTELUS CANIS",0.199,0.169511068799782
"54",13,1971,46,0.669747997552756,0.0819273585939635,0.286229555765933,0.204511959921086,0.00680755214217296,0.0825078913933265,628057.596031723,72045199873.422,268412.369076803,191782,5986418494.97795,77371.9490188657,"SmoothDogfish","MUSTELUS CANIS",0.199,0.0876449954921424
"55",13,1972,44,2.18554974802467,2.24353862267951,1.49784465906165,0.8657238474098,0.256560375126407,0.506517892207577,2049503.88171036,1972920783346.2,1404606.98536858,811834,225613809877.474,474988.220777604,"SmoothDogfish","MUSTELUS CANIS",0.199,0.286006824228521
"56",13,1973,40,5.51517634644298,2.25968928573368,1.50322629225732,1.94036120360904,0.305555147869236,0.552770429626293,5171868.24073357,1987123337508.75,1409653.62323826,1819578,268698784855.175,518361.635207675,"SmoothDogfish","MUSTELUS CANIS",0.199,0.721730572974637
"57",13,1974,37,4.13520112782333,2.26109832288082,1.50369489022235,1.43175147010814,0.231614954897128,0.481263913977693,3877793.57151989,1988362415206.81,1410093.05196743,1342628,203677330816.164,451306.249476078,"SmoothDogfish","MUSTELUS CANIS",0.199,0.541143363670348
"58",13,1975,40,0.931688311084435,0.406499436882726,0.637573083561976,0.356755412302542,0.0515210645260082,0.226982520309402,873692.677019844,357467074262.63,597885.502636274,334548,45306542956.7167,212853.336729112,"SmoothDogfish","MUSTELUS CANIS",0.199,0.121923198163269
"59",13,1976,42,2.73522724265917,2.92021385170247,1.70886332153934,1.0202715271204,0.444705310449755,0.666862287470026,2564965.1106119,2567974779484,1602490.18077616,956762,391064517713.933,625351.51532073,"SmoothDogfish","MUSTELUS CANIS",0.199,0.357939075934251
"60",13,1977,37,1.07864440906944,0.301943601093525,0.549493950006299,0.362461374347167,0.0283110684518073,0.168258932754868,1011501.06757855,265522866410.179,515289.109539663,339899,24896159478.903,157785.168754554,"SmoothDogfish","MUSTELUS CANIS",0.199,0.141154262074623
"61",13,1978,52,0.514000027497571,0.0781818311952797,0.279610141438539,0.177284163526212,0.00875213779181589,0.09355286094939,482004.608912528,68751461680.2144,262204.999342527,166249,7696446307.46787,87729.3924945789,"SmoothDogfish","MUSTELUS CANIS",0.199,0.0672634039334133
"62",13,1979,51,1.4314980292757,0.849868788495667,0.921883283553654,0.460133436438946,0.083116769829774,0.288299791588156,1342390.29347785,747356777811.03,864497.991791207,431491,73091143153.9854,270353.737081597,"SmoothDogfish","MUSTELUS CANIS",0.199,0.187329620665266
"63",13,1980,36,0.352835925249391,0.0920898390011487,0.303463076833325,0.105850777574817,0.00420117878654875,0.0648165008817103,330872.632416204,80981871880.3155,284573.139773091,99262,3694428461.69322,60781.8102864107,"SmoothDogfish","MUSTELUS CANIS",0.199,0.0461730429817566
"64",13,1981,37,0.930789919558108,0.292623157743771,0.540946538711332,0.27128503227135,0.0246285462295248,0.156934847084785,872850.208472895,257326664121.15,507273.756586274,254398,21657826715.6372,147165.983554751,"SmoothDogfish","MUSTELUS CANIS",0.199,0.121805632270481
"65",13,1982,37,0.203177373211636,0.0435957412169258,0.20879593199324,0.075084598279825,0.00428686179754823,0.0654741307506119,190530.009874779,38337179954.3751,195798.825211938,70411,3769776303.47838,61398.5040817639,"SmoothDogfish","MUSTELUS CANIS",0.199,0.0265883287808359
"66",13,1983,37,2.47115042329249,2.33110293566679,1.52679498809329,0.655477560622505,0.18054819450004,0.424909630980565,2317326.51677485,2049923002619.66,1431755.21742358,614675,158770293376.69,398459.901842946,"SmoothDogfish","MUSTELUS CANIS",0.199,0.323381284455152
"67",13,1984,35,1.89484976830903,1.02213593217866,1.01100738482894,0.44489800245092,0.0456010566856421,0.213544039218242,1776899.36315442,898844888879.937,948074.305568892,417204,40100612295.3218,200251.372767634,"SmoothDogfish","MUSTELUS CANIS",0.199,0.247965055526202
"68",13,1985,34,3.1497692959902,1.36150476484976,1.16683536321529,1.00812423485635,0.130975528836337,0.361905414212522,2953702.7946669,1197278718557.94,1094202.32066924,945371,115177131491.657,339377.564803062,"SmoothDogfish","MUSTELUS CANIS",0.199,0.412187146146121
"69",13,1986,38,2.00571404364311,3.00059168501964,1.7322216039005,0.583788378594577,0.253953070372815,0.503937565947226,1880862.57096772,2638657359346.34,1624394.45928208,547449,223321000792.362,472568.514389567,"SmoothDogfish","MUSTELUS CANIS",0.199,0.26247304800606
"70",13,1987,32,0.855401761422833,0.133835596617813,0.365835477527554,0.272255498183727,0.0146707908020484,0.121123039930677,783830.524554337,112376552100.903,335226.12085114,249476,12318493200.5482,110988.707536164,"SmoothDogfish","MUSTELUS CANIS",0.199,0.109382998032713
"71",13,1988,31,2.13424999255533,1.66613169436659,1.2907872382258,0.595365533558161,0.1260300546931,0.355007119214672,1963273.56446936,1409874275345.59,1187381.26789401,547670,106646150861.292,326567.222576443,"SmoothDogfish","MUSTELUS CANIS",0.199,0.273973444147419
"72",13,1989,33,1.0188858926326,0.162626019192216,0.403269164693032,0.287589178031253,0.012491307461165,0.111764517898862,955462.392863756,143009908514.07,378166.508979934,269687,10984593646.9177,104807.412175465,"SmoothDogfish","MUSTELUS CANIS",0.199,0.13333410445883
"73",13,1990,33,3.16158683980324,1.71259990364065,1.30866340349253,0.761889336686347,0.083298945564044,0.288615567085429,2964784.72128011,1506024415757.07,1227201.86430639,714463,73251344671.6813,270649.856219584,"SmoothDogfish","MUSTELUS CANIS",0.199,0.413733621205408
"74",13,1991,33,0.621166691953412,0.169174013268899,0.411307686858512,0.157118704981205,0.0112149926290214,0.105900862267601,571404.544779166,143154403803.278,378357.507925081,144532,9490083922.72302,97417.0617639591,"SmoothDogfish","MUSTELUS CANIS",0.199,0.0797391020629103
"75",13,1992,33,2.00161308260644,0.906070998298653,0.951877617290507,0.540621397902021,0.0638028178895228,0.252592196810438,1877016.88611384,796779821688.86,892625.241458508,506969,56106859127.7262,236868.864833955,"SmoothDogfish","MUSTELUS CANIS",0.199,0.261936385391337
"76",13,1993,33,1.62714741859126,0.579960689465451,0.761551501518742,0.479097179295182,0.0472431361102294,0.217354862172967,1496795.3724062,490760520043.935,700543.017982432,440716,39976961313.2438,199942.394987266,"SmoothDogfish","MUSTELUS CANIS",0.199,0.208876740757666
"77",13,1994,34,2.18786817363183,2.4351954519194,1.56051127901063,0.595380095848552,0.20815875921538,0.456244188144222,2051677.99020898,2141459776994.55,1463372.74027998,558319,183050444570.058,427843.948852918,"SmoothDogfish","MUSTELUS CANIS",0.199,0.286310219539342
"78",13,1995,31,1.23256631053739,0.25012415498273,0.500124139572096,0.382556543720867,0.0250984951552341,0.158425045858394,1155841.65503209,219953932949.442,468992.465770445,358743,22071089938.8643,148563.420594924,"SmoothDogfish","MUSTELUS CANIS",0.199,0.161296889465215
"79",13,1996,33,3.35337586484256,5.83912693099022,2.41642854870369,1.03518210106146,0.466985517123256,0.683363385852107,3144635.2836582,5134805687003.66,2266010.96356652,970744,410657263904.725,640825.455100471,"SmoothDogfish","MUSTELUS CANIS",0.199,0.438831640604398
"80",13,1997,33,1.01424029909435,0.375733452150563,0.612971004331006,0.185935166176909,0.0117142650684807,0.108232458479334,951105.977733837,330412112924.054,574814.850994696,174361,10301278873.2959,101495.216011869,"SmoothDogfish","MUSTELUS CANIS",0.199,0.132726169793544
"81",13,1998,33,0.819187697867358,0.377774085858454,0.614633293808962,0.196412835955436,0.0204290709723934,0.142930301099499,768194.989908586,332206603383.366,576373.666455509,184187,17964896301.9644,134033.191045966,"SmoothDogfish","MUSTELUS CANIS",0.199,0.107201070177366
"82",13,1999,33,2.14244475465793,1.53237469543477,1.2378912292422,0.671692751409818,0.138519635496048,0.372182261124907,2009082.08334769,1347538149749.49,1160835.10876846,629881,121811260572.505,349014.699651039,"SmoothDogfish","MUSTELUS CANIS",0.199,0.280365990716332
"83",13,2000,34,1.40141111149175,0.951180769139546,0.975284968170609,0.477612864383072,0.0943905057693999,0.307230378981962,1314176.22292529,836448407522.113,914575.534071469,447882,83005029956.0234,288105.935301624,"SmoothDogfish","MUSTELUS CANIS",0.199,0.18339236697704
"84",13,2001,33,4.29905996316799,2.0689003048336,1.43836723573419,1.273988533253,0.132019842469782,0.363345348765857,4031452.53965591,1819347511478.34,1348831.90630943,1194685,116095478985.624,340727.866464754,"SmoothDogfish","MUSTELUS CANIS",0.199,0.562586364526799
"85",13,2002,32,2.72136328848512,1.17187686671932,1.08253261693093,1.00153328549841,0.15107368445581,0.388681983703658,2551964.15837036,1030523924349.41,1015147.24269409,939190,132851027776.637,364487.349268307,"SmoothDogfish","MUSTELUS CANIS",0.199,0.356124802199162
"86",13,2003,31,3.24450947263132,1.20432166221738,1.09741590211614,1.14713641233088,0.136091793951941,0.368906212948414,2973042.23178589,1011222122070.36,1005595.40674685,1051156,114270993368.218,338039.928659645,"SmoothDogfish","MUSTELUS CANIS",0.199,0.414885950984759
"87",13,2004,33,5.67203249816834,4.45311541520319,2.11024060599809,1.77215726945583,0.374144329473978,0.611673384637568,5318960.42754919,3915976245954.17,1978882.57507973,1661844,329014671790.558,573598.005392764,"SmoothDogfish","MUSTELUS CANIS",0.199,0.7422571841196
"88",13,2005,33,1.76220226016502,1.9968004391172,1.41308189398817,0.569160953932364,0.199742384815991,0.446925480159714,1652508.88287088,1755944402608.09,1325120.52380457,533732,175649261543.779,419105.310803596,"SmoothDogfish","MUSTELUS CANIS",0.199,0.230606451550071
"89",13,2006,38,8.46170241985173,12.1749011779456,3.4892551035924,2.8292812765862,1.30875477775303,1.14400820703045,7934979.27514039,10706352601350.4,3272056.32612742,2653164,1150891486881.9,1072796.10685437,"SmoothDogfish","MUSTELUS CANIS",0.199,1.10732077311711
"90",13,2007,33,3.70228361442311,2.81191525858271,1.67687663785465,1.2717445392969,0.334686085644452,0.578520600881638,3471824.26106329,2472739269378.12,1572494.60074689,1192581,294315920211.84,542508.91256443,"SmoothDogfish","MUSTELUS CANIS",0.199,0.484490632121952
"91",13,2008,33,3.61934619070017,1.59536705943317,1.26307840589299,1.24697767788467,0.181150828023283,0.425618171631902,3394049.51719721,1402932312733.02,1184454.43674842,1169356,159300236650.556,399124.337331809,"SmoothDogfish","MUSTELUS CANIS",0.199,0.473637221354189
"92",13,2009,46,1.78590705491005,0.293032995893487,0.541325221926234,0.617448041115525,0.0329927301165048,0.181639010447934,1674738.10409497,257687067189.414,507628.867569029,579013,29013114500.54,170332.364806398,"SmoothDogfish","MUSTELUS CANIS",0.199,0.233708523726713
"93",13,2010,45,3.12577686433738,3.4261694697091,1.850991482884,1.02192178851082,0.398743345907307,0.631461278232725,2931203.84132642,3012901532304.45,1735771.16357671,958309,350646530623.113,592154.144309667,"SmoothDogfish","MUSTELUS CANIS",0.199,0.409047433042476
"94",13,2011,40,2.60612248051912,0.37601118130192,0.613197505948875,0.716907570699131,0.0286756958160164,0.169338996737362,2443896.84785902,330656342111.515,575027.253364147,672282,25216805131.1565,158798.001030103,"SmoothDogfish","MUSTELUS CANIS",0.199,0.341044085076309
"95",13,2012,43,6.34794185876139,11.0735758201702,3.32769827661257,2.04755685430927,1.2026826491909,1.09666888767344,5952795.85475548,9737870193418.4,3120556.07118642,1920101,1057613882984.86,1028403.56037154,"SmoothDogfish","MUSTELUS CANIS",0.199,0.830708471885651
"96",13,2013,42,2.64487688053524,0.955663808049629,0.977580589030709,0.78034852142976,0.0802879782794825,0.28335133364691,2480238.86813935,840390697861.51,916728.257370476,731773,70603563227.8335,265713.310219555,"SmoothDogfish","MUSTELUS CANIS",0.199,0.346115588428501
"97",13,2014,42,2.03497751027356,0.173896731926436,0.417009270791953,0.666461268550668,0.0118385910848743,0.108805289783513,1908304.44846587,152921136772.718,391051.322428039,624975,10410608563.0878,102032.389774462,"SmoothDogfish","MUSTELUS CANIS",0.199,0.266302542697021
"98",13,2015,42,8.98926784701111,13.0948381015481,3.61867905478617,3.06078504862965,1.37462683996723,1.1724448131862,8429704.86617147,11515325826770.3,3393423.90908803,2870258,1208817996044.94,1099462.59419997,"SmoothDogfish","MUSTELUS CANIS",0.199,1.176359381152
"99",13,2016,40,1.59741153051351,0.925013136049018,0.961776032166023,0.579918296468123,0.0957000186595395,0.309354196124021,1497976.02888487,813437140119.183,901907.50086646,543820,84156588111.0289,290097.549302004,"SmoothDogfish","MUSTELUS CANIS",0.199,0.209041500538304
"100",13,2018,42,16.3472844547049,96.3201332656356,9.81428210648316,7.08889460234183,19.0516709284028,4.36482198129578,15329700.4452186,84701903882309,9203363.72650288,6647626,16753639608498,4093121.01073227,"SmoothDogfish","MUSTELUS CANIS",0.199,2.1392489079126
"101",13,2019,43,3.12585384370737,0.927235719145915,0.962930796654627,1.20871988785954,0.11034269493365,0.332178709332266,2931276.02889284,815391633052.915,902990.383699026,1133480,97033050344.8279,311501.284659996,"SmoothDogfish","MUSTELUS CANIS",0.199,0.409057506766564
"102",13,2021,42,2.48197496632854,0.459231742004044,0.677666394329868,1.00490315813002,0.0690774758525666,0.262825942122475,2327477.25481692,403838756780.557,635483.089295504,942350,60745282649.8953,246465.58106538,"SmoothDogfish","MUSTELUS CANIS",0.199,0.324797812804719
"103",14,1963,33,0.0214338845876202,0.000405102331603498,0.0201271540860475,0.0973022272160327,0.00932890105082428,0.0965862363425777,24281.4054760696,519888977.368003,22801.0740397904,110229,11972265891.6398,109417.849968092,"Sharks","SCYLIORHINUS RETIFER",0.199,0.00338845304465598
"104",14,1964,32,0.0274131138201051,0.000374733542620582,0.0193580356085162,0.169297125628902,0.00816818700621545,0.0903780228054113,25706.7052510942,329532813.466838,18153.0386841112,158759,7182932241.02114,84752.1813348845,"Sharks","SCYLIORHINUS RETIFER",0.199,0.00358735262511845
"105",14,1965,29,0.0108586132200864,0.00056615583013814,0.0237940292959839,0.0772091975088473,0.00789393420292966,0.0888478148461157,10182.6874289513,497865556.046511,22312.9011122828,72403,6941760081.10206,83317.2255965239,"Sharks","SCYLIORHINUS RETIFER",0.199,0.00142098686401884
"106",14,1966,34,0.00603256290004797,0.000140170664230789,0.011839369249702,0.0381033892801337,0.002857880751774,0.0534591503091286,5657.04857163959,123263140.594424,11102.3934624217,35732,2513160359.48868,50131.4308541925,"Sharks","SCYLIORHINUS RETIFER",0.199,0.000789437146677132
"107",14,1967,43,0,0,0,0.00965210064007676,0.000327413859861127,0.0180945809529021,0,0,0,9051,287920877.468171,16968.2314183939,"Sharks","SCYLIORHINUS RETIFER",0.199,0
