National Database Number,Field Number,Nmfs Regional Number,Confidence Code,Common Name,Genus,Species,Report Status,Examiner Name,Affiliation,Stranding Agreement/Authority,Contributors,Effort,"If Effort=Other, Then Specify",Region,Country,City - from strandings table,County,State,Body of Water,Locality Detail,Latitude,Latitude Units,Latitude Actual/Estimate,Longitude,Longitude Units,Longitude Actual/Estimate,How lat/long determined,Restrand,Group Event Number,Group Event Flag,Mass Stranding Number,Group Type: Cow Calf Pair,Group Type: Mass Stranding,Group Type: UME,Num of Animals in Group Event,Number of Animals Act/Est,Findings of Human Interaction,Boat Collision,Shot,Fishery Interaction,SW Fishery Type,Other Human Interaction,Other Human Int Description,SW Other Human Int Type,How Determined: External Exam,How Determined: Internal Exam,How Determined: Necropsy,How Determined: Other,2001 Level A: External Exam,2001 Level A: Internal Exam,2001 Level A: Not Examined,How Determined: Describe,Gear Collection Flag,Gear Disposition Flag,Other Findings upon Level Y/N,Other Findings - Illness Flag,Other Findings - Injury Flag,Other Findings - Pregnant Flag,Other Findings - Other Flag,Other Findings - Descibe,SW Other Findings Type,2007 Other Findings - External,2007 Other Findings - Internal,2007 Other Findings - Necropsy,2007 Other Findings - Other,2007 Other Findings - Descibe,2001 Other Findings - Descibe,Observation Date,Year of Observation,Month of Observation,Day of Observation,How Observed,Obs Date estimate explaination,Observation Date Act/Est,Observation Status,Not Able to Examine,Date of Examination,Year of Examination,Month of Examination,Day of Examination,Condition at Examination,Left at Site,Immediate Release at Site,Relocated Flag,Disentangled Flag,Euthanized at Site Flag,Died at Site Flag,Transferred to Rehabilitation,Date of Initial Disposition,Year of Initial Disposition,Month of Initial Disposition,Day of Initial Disposition,Rehab Facility Name,Died During Transport Flag,Euthanized During Transport,Other Flag,Other Describe Flag,Sick Flag,Injured Flag,Out of Habitat Flag,Deemed Healthy/Releasable Flag,Abandoned/Orphaned Flag,Inaccesible Flag,Location Hazardous to Animal,Location Hazardous Public,Unknown/CBD Flag,Condition Other Flag,Condition Other Description,Entangled Flag,Condition Comments,Sex,Age Class,2007 Whole Carcass,2007 Partial Carcass,Length,Length Units,Length actual/estimate,Weight,Weight Units,Weight actual/estimate,Photos/Videos Taken,Photos/Vidoes Disposition,Carcass Left at Site Flag,Carcass Buried Flag,Carcass Rendered Flag,Carcass Towed Flag,Carcass Towed Lattitude,Carcass Towed Longitude,Carcass Sunk Flag,Carcass Sunk Lattitude,Carcass Sunk Longitude,Carcass Frozen for Later Exam,Carcass Landfill Flag,Carcass Unknown Flag,Carcass Other Flag,Carcass Other Description,Scientific Collection Flag,Educational Collection Flag,Other Collection Flag,Other Collection Describe,Other Collection Comments,Necropsied Flag,Necropsy Limited Flag,Necropy Carcass Fresh/Frozen,Date of Necropsy,Year of Necropsy,Month of Necropsy,Day of Necropsy,Stranding Necropsied By,Additional Remarks,Additional Identifiers,GE Number - GE_Module,How lat or long determined,Ex First Examined,Ex Country,Ex State or County,Ex City,Ex Body of Water,Ex Locality Detail,Ex Latitude,Ex Lat actual,Ex Longitude,Ex Lon actual,Ex How lat or long determined,Ex lat achived other text,No Rehab Options,Incinerated,Composted,Carcass Code at Necropsy,Samples Collected-Histology,Samples Collected-Other Diag,Samples Collected-Life Hist,Samples Collected-Skeletal,Samples Collected-Other,Samples Collected-Other Text,Human Interaction Report,human interaction contributed,GE Type(s) - GE_Module,Group Event Flag - GE_Module,GE Num of Animals - GE_Module,GE Num of Animals Act or Est - GE_Module
NE-2003-1034479,MH03507BA,S200306MEC012,Confirmed - Medium Report,"Whale, minke",Balaenoptera,acutorostrata,Validated,Laura Ludwig,New England Aquarium,New England Aquarium,,,,NE,United States,NEW HARBOR,Lincoln,ME,John's Bay,FLOATING 50 YDS OFFSHORE - JOHNS BAY,4351.2,decimal minutes,,6931.1,decimal minutes,,,N,,N,,N,N,N,1,,CBD,N,N,N,,N,,,,,,,,,,not examined.,N,,CBD,N,N,,N,,,,,,,,Not Examined,2003-JUN-24,2003,JUN,24,Floating,,,Advanced Decomposition,N,2003-JUN-24,2003,JUN,24,Advanced Decomposition,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,UNKNOWN,,,823,cm,estimate,,lb,estimate,Y,Laura Ludwig,Y,N,N,N,,,N,,,N,N,N,N,,N,N,N,N,,N,,,,,,,,"From comments: Carcass was floating, expected to wash up in New Harbor area- but never did.",MAL-03-123Ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-2003-1034440,MH03602MN,S200309MEC001,Confirmed - High Report,"Whale, humpback",Megaptera,novaeangliae,Validated,Greg Jakush,Marine Animal Lifeline,Northeast Marine Animal Lifeline,,,,NE,United States,NEW HARBOR,Lincoln,ME,Muscongus Bay,,4348.9,decimal minutes,,6928.2,decimal minutes,,,N,,N,,N,N,N,1,,N,N,N,N,,N,,,,,,,,,,,N,,N,N,N,,N,,,,,,,,,2003-SEP-30,2003,SEP,30,,,,Moderate Decomposition,N,2003-OCT-02,2003,OCT,2,Moderate Decomposition,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,,,,1097,cm,estimate,44000,lb,estimate,Y,MAL/NMFS/NEAq.,N,Y,N,N,,,N,,,N,N,N,N,,Y,N,Y,skeleton - T. French,,Y,,,2003-OCT-02,2003,OCT,2,Early,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-2003-1034424,MH03611BA,S200307MEC009,Confirmed - Minimum,"Whale, minke",Balaenoptera,acutorostrata,Validated,Greg Jakush,Marine Animal Lifeline,Northeast Marine Animal Lifeline,,,,NE,United States,MONHEGAN,Lincoln,ME,Gulf of Maine,,4345,decimal degrees,,6927,decimal degrees,,,N,,N,,N,N,N,1,,CBD,N,N,N,,N,,,,,,,,,,,N,,,N,N,,N,,,,,,,,,2003-JUL-17,2003,JUL,17,,,,Advanced Decomposition,N,2003-JUL-17,2003,JUL,17,Advanced Decomposition,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,,,,900,cm,estimate,,kg,actual,N,,Y,N,N,N,,,N,,,N,N,N,N,,N,N,N,N,,N,,,,,,,,From comments: USCG S. Portland reported the whale.,MAL-03-178Ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-2011-1134915,COA110712Ba,NER11-2647,Confirmed - High Report,"Whale, minke",Balaenoptera,acutorostrata,Validated,Sara Golaski,College of the Atlantic/Allied Whale,College of the Atlantic/Allied Whale,,,,NE,United States,Mount Desert Rock,Eez,ME,Atlantic Ocean,In Western Cove - west side of Mount Desert Rock,43.9667,decimal degrees,actual,–68.1333,decimal degrees,actual,Internet,N,,N,,N,N,N,1,actual,CBD,N,N,N,,N,,,N,N,N,N,,,,,N,,N,N,N,N,N,,,N,N,N,N,,,2011-JUL-12,2011,JUL,12,Floating,,,Fresh Dead,N,2011-JUL-12,2011,JUL,12,Fresh Dead,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,ADULT,Y,N,272,in,actual,,,,Y,"Digital images taken by and housed at Allied Whale, COA.",N,N,N,N,,,N,,,N,N,N,Y,Soft tissue put in ocean,N,Y,N,,,Y,limited,fresh,2011-JUL-16,2011,JUL,16,Sara Golaski,"It is possible that this minke whale is the same one that was found floating off the Schoodic Ridges by the Bar Harbor Whale Watch on July 7, 2011 and was given the assession number: COA110707Ba. Photo comparison did not allow for a positive identification as being the same animal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-2011-1134913,COA110707Ba,NER11-2645,Confirmed - Medium Report,"Whale, minke",Balaenoptera,acutorostrata,Validated,Bar Harbor Whale Watch crew,College of the Atlantic/Allied Whale,College of the Atlantic/Allied Whale,,,,NE,United States,Offshore,Eez,ME,Atlantic Ocean,"On the ""East Bumps"" which are east of the Schoodic Ridges",44.202222,decimal degrees,actual,–67.667778,decimal degrees,actual,GPS,N,,N,,N,N,N,1,actual,CBD,N,N,N,,N,,,N,N,N,N,,,,,,,,N,N,N,N,,,N,N,N,N,,,2011-JUL-07,2011,JUL,7,Floating,,,Fresh Dead,Y,,,,,,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,SUBADULT,Y,N,180,in,estimate,,,,Y,"Digital images taken by Allied Whale interns and housed at Allied Whale, COA.",Y,N,N,N,,,N,,,N,N,N,N,,N,N,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-2010-1119635,COA100702Eg,NER10-2658,Confirmed - High Report,"Whale, right, North Atlantic",Eubalaena,glacialis,Validated,Rosemary Seton,College of the Atlantic/Allied Whale,College of the Atlantic/Allied Whale,,,,NE,United States,,Eez,ME,Atlantic Ocean,Was originally sighted floating offshore approximately 26 miles SW of Grand Manan Island,44.3625,decimal degrees,actual,–67.3345,decimal degrees,actual,GPS,N,,N,,N,N,N,1,actual,Y,Y,N,N,,N,,,Y,N,N,N,,,,,N,,N,N,N,N,N,,,N,N,N,N,,,2010-JUL-02,2010,JUL,2,Floating,,,Moderate Decomposition,N,2010-JUL-03,2010,JUL,3,Moderate Decomposition,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,PUP/CALF,Y,N,397,in,estimate,,,,Y,"Digital images taken by Coast Guard and also by Allied Whale, COA and both housed at Allied Whale, COA. More photos taken on Drisko Island where it finally landed and was discovered on August 11, 2010.",N,N,N,Y,44.342333 N,-67.441416 W,N,,,N,N,N,Y,Towed and then released at 44.429066 N and -67.6118 W,Y,N,N,,Samples collected at sea before we began towing the carcass. Skin was sent to Amy Knowlton and Mo Brown of the Right Whale Research Team at New England Aquarium for genetics analyses. Skin and blubber sections from the upper laceration were sent to Dave Rotstein at Smithsonian MSC for pathohistology.,N,,,,,,,,"A crew from Allied Whale, COA went out early on the R/V Borealis on July 3rd and relocated the right whale approximately 10 miles SE of Jonesport, ME. Samples were collected and the whale rigged out for towing. We towed the whale for 6 hours at an average speed of 2 kts. With logistics still to be worked out including identification of a site to land the whale for necropsy as well as permission to do so from Maine DMR pending,lateness of the day and deteriorating sea conditions, (not to mention it was a holiday weekend), we decided to release the whale with two large floats and the tow line attached with the planned recovery of the whale the next day with the assistance of Jonesport Coast Guard (CG). On July 4th a crew from Allied Whale went out with CG but were unsuccessful in relocating the animal. Searches were also carried out on July 5th by vessel and on July 6th by NOAA aerial survey but both failed to find the whale. We have had no further reports - until August 11, 2010. See updates below. August 11, 2010 - carcass of a dead whale discovered by a kayaker on Drisko Island, approx. 4 miles west of Great Waas Island at latitude 44 deg 29.24' N and longitude -67 deg 40.268' W. Description of the animal with accompanying blue tow line (which had been cut at the tail stock) and subsequent visit and examination of the carcass on Augst 12, 2010 by Allied Whale staff confirmed the that this animal was the right whale. Two cruises to Drisko Island on September 27, 2010 and October 12, 2010 were undertaken by Allied Whale crew on the R/V Borealis to collect the skeleton.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-2016-1191326,COA160922Eg,NER16-00429,Confirmed - Medium Report,"Whale, right, North Atlantic",Eubalaena,glacialis,Ready for Regional Validation,Evan Henerberry,College of the Atlantic/Allied Whale,College of the Atlantic/Allied Whale,,,,NE,United States,,Eez,ME,Atlantic Ocean,Floating approximately 25 miles offshore.,44.165983,decimal degrees,actual,–67.809767,decimal degrees,actual,GPS,N,,N,,N,N,N,1,actual,CBD,N,N,N,,N,,,N,N,N,N,,,,,,,N,N,N,N,N,,,N,N,N,N,,,2016-SEP-22,2016,SEP,22,Floating,,,Advanced Decomposition,N,2016-SEP-23,2016,SEP,23,Advanced Decomposition,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,ADULT,Y,N,914.4,cm,estimate,,,,Y,"Digital images taken by and housed by Allied Whale, COA.",N,N,N,N,,,N,,,N,N,N,Y,Left floating,N,N,N,,,N,,,,,,,,There were a couple of attempts to find and secure the whale but rough sea conditions precluded collection and towing or even sampling. Waited for better sea conditions only to discover from an aerial survey that the carcass had floated 60 miles offshore and sea conditions were poor during that time. Had to stand down.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-2013-1151020,NMFSNER061013Ba,NER13-0893,Confirmed - Medium Report,"Whale, minke",Balaenoptera,acutorostrata,Ready for Regional Validation,Lanni Hall,,NOAA Fisheries Northeast Regional Office,,,,NE,United States,Bar Harbor,Eez,ME,Atlantic Ocean,approx 15 mi SE of Bar Harbor,44.1816,decimal degrees,actual,–68.1083,decimal degrees,actual,GPS,N,,N,,N,N,N,,,CBD,N,N,N,,N,,,Y,N,N,N,,,,,,,CBD,N,N,N,N,,,Y,N,N,N,,,2013-JUN-10,2013,JUN,10,Floating,,,Moderate Decomposition,Y,,,,,,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,UNKNOWN,Y,N,0,cm,estimate,0,kg,estimate,Y,NERO large whale files,Y,N,N,N,,,N,,,N,N,N,N,,N,N,N,,,NA,,,,,,,,Reported by USCG with photo. No response.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-2012-1145516,NMFSNER061212UnWH,NER12-2368,Confirmed - Minimum,UNIDENTIFIED WHALE,,,Validated,Lanni Hall,,NOAA Fisheries Northeast Regional Office,,,,NE,United States,,Eez,ME,Atlantic Ocean,"Approx. 40 miles ENE of Portland, ME",43.726,decimal degrees,actual,–69.448,decimal degrees,,GPS,N,,N,,N,N,N,,,CBD,N,N,N,,N,,,N,N,N,N,,,,,N,,CBD,N,N,N,N,,,N,N,N,N,,,2012-JUN-12,2012,JUN,12,Floating,,,Condition Unknown,Y,,,,,,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,UNKNOWN,Y,N,0,cm,estimate,0,kg,estimate,N,,Y,N,N,N,,,N,,,N,N,N,N,,N,N,N,,,NA,,,,,,,,"Reported to USCG by outbound tanker from Portland. Described as 25-30 ' long, long white pecs and decomposing. No photos or further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-1993-1080127,930806Pc,BLANKNE28217,Confirmed - Minimum,"Whale, sperm",Physeter,macrocephalus,OPEN,NMFS,,NMFS Alaska Regional Office,,,,NE,United States,,Eez,ME,Atlantic Ocean,,44.15,decimal degrees,,–67.9,decimal degrees,,,N,,N,,N,N,N,,,Y,N,N,Y,,N,,,N,N,N,Y,,,,See photo of line caught around jaw.,N,,,N,N,N,N,,,N,N,N,N,,,1993-AUG-06,1993,AUG,6,,,,Moderate Decomposition,N,1993-AUG-06,1993,AUG,6,Moderate Decomposition,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,,N,N,0,in,estimate,,,,Y,,Y,N,N,N,,,N,,,N,N,N,N,,N,N,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-2009-1100693,NERO7-20-09Mn,NER09-2752,Confirmed - Minimum,"Whale, humpback",Megaptera,novaeangliae,Validated,NMFS RO,NOAA Fisheries Northeast Regional Office,NMFS Alaska Regional Office,,,,NE,United States,,Eez,ME,Atlantic Ocean,"7 miles S of Matinicus Island, ME",43.8115,decimal degrees,estimate,–69.0083,decimal degrees,,GPS,N,,N,,N,N,N,1,actual,CBD,N,N,N,,N,,,N,N,N,N,,,,,N,,CBD,N,N,N,N,,,N,N,N,Y,Decomposed floater,,2009-JUL-20,2009,JUL,20,Floating,,,Advanced Decomposition,Y,,,,,Advanced Decomposition,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,UNKNOWN,Y,N,540,in,estimate,,,,Y,Maine DMR/NERO LW Files,Y,N,N,N,,,N,,,N,N,N,N,,N,N,N,,,N,,,,,,,,"This was reported from USCG on Monday July, 20th. Boothbay Coast guard responded as well as a member of DMR. No gear is sighted on this animal today. A small hole on the belly area was noted and some gashes in the throat area. The animal is decomposed. Both front flippers are present as well as the tail area and lower jaw. At this point there is concern that this carcass is will hit land at some point, maybe near the Pemaquid area.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-1995-1079889,NERO060195UnFS,BLANKNE28048,Confirmed - Minimum,"Whale, unidentified fin/sei",Balaenoptera,,OPEN,NMFS,,NMFS Alaska Regional Office,,,,NE,United States,,Eez,ME,Atlantic Ocean,,44.5666,decimal degrees,,–67.19,decimal degrees,,,N,,N,,N,N,N,,,N,N,N,N,,N,,,N,N,N,N,,,,,,,,N,N,N,N,,,N,N,N,N,,,1995-JUN-01,1995,JUN,1,Floating,,,Condition Unknown,N,1995-JUN-01,1995,JUN,1,Condition Unknown,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,UNKNOWN,N,N,420,in,estimate,,,,Y,video,N,N,N,N,,,N,,,N,N,Y,N,,N,N,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-1994-1079899,NERO080394Bp,BLANKNE28059,Confirmed - Minimum,"Whale, fin",Balaenoptera,physalus,OPEN,NMFS,,NMFS Alaska Regional Office,,,,NE,United States,,Eez,ME,Atlantic Ocean,20 miles southeast of Biddeford ME,43.215,decimal degrees,,–70.045,decimal degrees,,,N,,N,,N,N,N,,,N,N,N,N,,N,,,N,N,N,N,,,,,,,,N,N,N,N,,,N,N,N,N,,,1994-AUG-03,1994,AUG,3,Floating,,,Condition Unknown,N,1994-AUG-03,1994,AUG,3,Condition Unknown,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,UNKNOWN,N,N,360,in,estimate,,,,Y,photos,N,N,N,N,,,N,,,N,N,Y,N,,N,N,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-1994-1079901,NERO073194Bp,BLANKNE28061,Confirmed - Minimum,"Whale, fin",Balaenoptera,physalus,OPEN,NMFS,,NMFS Alaska Regional Office,,,,NE,United States,,Eez,ME,Atlantic Ocean,9 miles off of Biddeford,43.275,decimal degrees,,–70.3133,decimal degrees,,,N,,N,,N,N,N,,,N,N,N,N,,N,,,N,N,N,N,,,,,,,,N,N,N,N,,,N,N,N,N,,,1994-JUL-31,1994,JUL,31,Floating,,,Condition Unknown,N,1994-JUL-31,1994,JUL,31,Condition Unknown,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,UNKNOWN,N,N,0,in,estimate,,,,Y,photo,N,N,N,N,,,N,,,N,N,Y,N,,N,N,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-1996-1079353,NER102896Ba,BLANKNE27871,Confirmed - Minimum,"Whale, minke",Balaenoptera,acutorostrata,OPEN,NMFS,,NMFS Alaska Regional Office,,,,NE,United States,,Eez,ME,Atlantic Ocean,,43.6382,decimal degrees,,070 .1588,decimal degrees,,,N,,N,,N,N,N,1,actual,CBD,N,N,N,,N,,,N,N,N,N,,,,,N,,CBD,N,N,N,N,,,N,N,N,N,,,1996-OCT-28,1996,OCT,28,Floating,,,Condition Unknown,N,1996-OCT-28,1996,OCT,28,Condition Unknown,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,UNKNOWN,N,N,240,in,estimate,8000,lb,estimate,Y,,N,N,N,N,,,N,,,N,N,Y,N,,N,N,N,,,N,,,,,,,,Whale found dead (belly up) in coastal inlet with no signs of entanglement or collision scars. Skin condition was peeling with two medium-sided wounds around flukes and tail section most likely from predation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-1994-1079895,NERO092294Un,BLANKNE28055,Confirmed - Minimum,UNIDENTIFIED WHALE,,,OPEN,NMFS,,NMFS Alaska Regional Office,,,,NE,United States,,Eez,ME,Atlantic Ocean,"18 miles south of Cape Elizabeth, ME",43.376,decimal degrees,,–69.885,decimal degrees,,,N,,N,,N,N,N,,,N,N,N,N,,N,,,N,N,N,N,,,,,N,,N,N,N,N,N,,,N,N,N,N,,,1994-SEP-22,1994,SEP,22,Floating,,,Condition Unknown,Y,,,,,,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,UNKNOWN,N,N,720,in,estimate,,,,N,,N,N,N,N,,,N,,,N,N,Y,N,,N,N,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-2017-1199789,MME-17-229Ba,NER17-00771,Confirmed - High Report,"Whale, minke",Balaenoptera,acutorostrata,OPEN,Lynda Doughty,,Marine Mammals of Maine,,,,NE,United States,,Eez,ME,Atlantic Ocean,anchored in gear off from Phippsburg,43.61735,decimal degrees,actual,–69.912517,decimal degrees,actual,GPS,N,,N,,N,N,N,,,Y,N,N,Y,,N,,,Y,N,N,N,,,,,N,,Y,N,Y,N,N,,,Y,N,N,N,,,2017-AUG-28,2017,AUG,28,Floating,,,Fresh Dead,N,2017-JUL-08,2017,JUL,8,Fresh Dead,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,SUBADULT,Y,N,640,cm,actual,3610,kg,estimate,Y,on file at MME,Y,N,N,N,,,N,,,N,N,N,N,,N,N,N,,,N,,,,,,,,"We went out to animal on 8/28/17. Animal was entangled in gear and from other distinctive evidence this animal died in this gear. We made a plan to for a necropsy two days later since the animal was already anchored. When we went back to the same location the gear was there, but the carcass was no longer there. We ran transects looking for the carcass with no luck.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-2016-1199919,NMFSGAR083016Ba,NER16-00920,Confirmed - Medium Report,"Whale, minke",Balaenoptera,acutorostrata,OPEN,Mendy Garron,Greater Atlantic Regional Fisheries Office,Greater Atlantic Regional Fisheries Office,,,,NE,United States,,Eez,ME,Atlantic Ocean,"Off Metinic Island, ME",43.880925,decimal degrees,actual,–69.124469,decimal degrees,actual,GPS,N,,N,,N,N,N,,,Y,N,N,Y,,N,,,Y,N,N,N,,,,,N,,CBD,N,N,N,N,,,N,N,N,N,,,2016-AUG-30,2016,AUG,30,Floating,,,Fresh Dead,Y,,,,,,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,UNKNOWN,Y,N,457.2,cm,estimate,,,,Y,GARFO,Y,N,N,N,,,N,,,N,N,N,N,,N,N,N,,,NA,,,,,,,,Lobsterman cut carcass out of his gear and reported the following to ME Marine Patrol: Buoy and line wrapped around the pectoral fin and draped over the top and then ran down to a pair of traps.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-2016-1199921,NMFSGAR100716Ba,NER16-00921,Confirmed - Medium Report,"Whale, minke",Balaenoptera,acutorostrata,OPEN,Mendy Garron,Greater Atlantic Regional Fisheries Office,Greater Atlantic Regional Fisheries Office,,,,NE,United States,,Eez,ME,Atlantic Ocean,"Off Monhegan Island, ME",43.809167,decimal degrees,actual,–69.1915,decimal degrees,actual,GPS,N,,N,,N,N,N,,,CBD,N,N,N,,N,,,N,N,N,N,,,,,,,CBD,N,N,N,N,,,N,N,N,N,,,2016-OCT-07,2016,OCT,7,Floating,,,Fresh Dead,Y,,,,,,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,UNKNOWN,Y,N,365.76,cm,estimate,,,,Y,GARFO,Y,N,N,N,,,N,,,N,N,N,N,,N,N,N,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-1992-1049153,COA090192Ba,BLANKNE10644,Confirmed - Medium Report,"Whale, minke",Balaenoptera,acutorostrata,Validated,Daniel DenDanto,College of the Atlantic/Allied Whale,College of the Atlantic/Allied Whale,,,,NE,United States,Swans Island,Cumberland,ME,Toothacher Bay,,,,,,,,,N,,N,,N,N,,1,,Y,N,N,Y,,N,,,,,,,,,,rope scars=entanglement (probably lobster gear).,N,,N,N,N,,N,,,,,,,,,1992-AUG-30,1992,AUG,30,,,,Condition Unknown,N,1992-SEP-01,1992,SEP,1,Condition Unknown,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,"gull scars - vent; nick in dorsal fin, rope scars on fluke, mouth, x-on ventral pleats.",FEMALE,,,,167,in,actual,0,kg,estimate,Y,Daniel DenDanto - COA,N,N,N,N,,,N,,,N,N,Y,N,,N,N,N,,No mention of a necropsy on Cetacean Data Record.,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-2004-1029206,MARC-04-026Ba,BLANKNE3050,Confirmed - High Report,"Whale, minke",Balaenoptera,acutorostrata,Validated,Lucy Keith,University of New England MARC,University of New England MARC,,,,NE,United States,Cape Elizabeth,Cumberland,ME,Atlantic Ocean,behind 1134 Shore Drive,43.6057,decimal degrees,actual,–70.21585,decimal degrees,actual,GPS,N,,N,,N,N,N,1,,Y,N,N,Y,,N,deep cut at base of tail that appeared to be made by line pre-mortem,,,,,,Y,N,N,external exam,N,,,N,N,,N,,,,,,,,deep cut at base of tail that appeared to be made by line pre-mortem,2004-JUN-05,2004,JUN,5,Floating,,,Advanced Decomposition,N,2004-JUN-05,2004,JUN,5,Advanced Decomposition,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,ADULT,,,809,cm,actual,,,,Y,MARC,N,N,N,Y,,,N,,,N,N,N,N,,Y,N,N,,collected skin/blubber sample for genetics,N,,,,,,,,"UNE/MARC staff marked the carcass by puncturing the left lower jaw in 3 places and looping bright orange cable ties through, in case it re-beaches elsewhere. Donald Dorsey (local harbormaster?) towed carcass out to sea for the property owner.",MH-04-532-Ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-1990-1052117,MH90-501Ba,BLANKNE13142,Confirmed - High Report,"Whale, minke",Balaenoptera,acutorostrata,Validated,NEA,New England Aquarium,New England Aquarium,,,,NE,United States,Brunswick,Cumberland,ME,Casco Bay,,43 45,decimal degrees,,70 02,decimal degrees,,,N,,N,,N,N,N,1,,Y,N,N,Y,,N,,,,,,,,,,line wrapped around flippers and through mouth.,N,,N,N,N,,N,,,,,,,,,1990-JUN-24,1990,JUN,24,,,,Alive,N,1990-JUN-25,1990,JUN,25,Alive,N,N,N,N,Y,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,Whale in poor condition with recent and old lacerations. Observations appear to be consistent with long term gear entanglement.,MALE,,,,440,cm,actual,0,kg,estimate,Y,,Y,N,N,N,,,N,,,N,N,N,N,,N,N,Y,NEA,,Y,,,1990-JUN-25,1990,JUN,25,NEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
