"","doy","t","temp","seas","thresh","threshCriterion","durationCriterion","event","event_no"
"154",155,1993-06-03,NA,NA,NA,FALSE,FALSE,FALSE,NA
"155",156,1993-06-04,NA,NA,NA,FALSE,FALSE,FALSE,NA
"156",157,1993-06-05,NA,NA,NA,FALSE,FALSE,FALSE,NA
"157",158,1993-06-06,NA,NA,NA,FALSE,FALSE,FALSE,NA
"158",159,1993-06-07,NA,NA,NA,FALSE,FALSE,FALSE,NA
"159",160,1993-06-08,NA,NA,NA,FALSE,FALSE,FALSE,NA
"160",161,1993-06-09,NA,NA,NA,FALSE,FALSE,FALSE,NA
"161",162,1993-06-10,NA,NA,NA,FALSE,FALSE,FALSE,NA
"162",163,1993-06-11,NA,NA,NA,FALSE,FALSE,FALSE,NA
"163",164,1993-06-12,NA,NA,NA,FALSE,FALSE,FALSE,NA
"164",165,1993-06-13,NA,NA,NA,FALSE,FALSE,FALSE,NA
"165",166,1993-06-14,NA,NA,NA,FALSE,FALSE,FALSE,NA
"166",167,1993-06-15,NA,NA,NA,FALSE,FALSE,FALSE,NA
"167",168,1993-06-16,NA,NA,NA,FALSE,FALSE,FALSE,NA
"168",169,1993-06-17,NA,NA,NA,FALSE,FALSE,FALSE,NA
"169",170,1993-06-18,NA,NA,NA,FALSE,FALSE,FALSE,NA
"170",171,1993-06-19,NA,NA,NA,FALSE,FALSE,FALSE,NA
"171",172,1993-06-20,NA,NA,NA,FALSE,FALSE,FALSE,NA
"172",173,1993-06-21,NA,NA,NA,FALSE,FALSE,FALSE,NA
"173",174,1993-06-22,NA,NA,NA,FALSE,FALSE,FALSE,NA
"174",175,1993-06-23,NA,NA,NA,FALSE,FALSE,FALSE,NA
"175",176,1993-06-24,NA,NA,NA,FALSE,FALSE,FALSE,NA
"176",177,1993-06-25,NA,NA,NA,FALSE,FALSE,FALSE,NA
"177",178,1993-06-26,NA,NA,NA,FALSE,FALSE,FALSE,NA
"178",179,1993-06-27,NA,NA,NA,FALSE,FALSE,FALSE,NA
"179",180,1993-06-28,NA,NA,NA,FALSE,FALSE,FALSE,NA
"180",181,1993-06-29,NA,NA,NA,FALSE,FALSE,FALSE,NA
"181",182,1993-06-30,NA,NA,NA,FALSE,FALSE,FALSE,NA
"182",183,1993-07-01,7.92705184475678,NA,NA,FALSE,FALSE,FALSE,NA
"183",184,1993-07-02,NA,NA,NA,FALSE,FALSE,FALSE,NA
"184",185,1993-07-03,NA,NA,NA,FALSE,FALSE,FALSE,NA
"185",186,1993-07-04,NA,NA,NA,FALSE,FALSE,FALSE,NA
"186",187,1993-07-05,NA,NA,NA,FALSE,FALSE,FALSE,NA
"187",188,1993-07-06,NA,NA,NA,FALSE,FALSE,FALSE,NA
"188",189,1993-07-07,NA,NA,NA,FALSE,FALSE,FALSE,NA
"189",190,1993-07-08,NA,NA,NA,FALSE,FALSE,FALSE,NA
"190",191,1993-07-09,NA,NA,NA,FALSE,FALSE,FALSE,NA
"191",192,1993-07-10,NA,NA,NA,FALSE,FALSE,FALSE,NA
"192",193,1993-07-11,NA,NA,NA,FALSE,FALSE,FALSE,NA
"193",194,1993-07-12,NA,NA,NA,FALSE,FALSE,FALSE,NA
"194",195,1993-07-13,NA,NA,NA,FALSE,FALSE,FALSE,NA
"195",196,1993-07-14,NA,NA,NA,FALSE,FALSE,FALSE,NA
"196",197,1993-07-15,NA,NA,NA,FALSE,FALSE,FALSE,NA
"197",198,1993-07-16,NA,NA,NA,FALSE,FALSE,FALSE,NA
"198",199,1993-07-17,NA,NA,NA,FALSE,FALSE,FALSE,NA
"199",200,1993-07-18,NA,NA,NA,FALSE,FALSE,FALSE,NA
"200",201,1993-07-19,NA,NA,NA,FALSE,FALSE,FALSE,NA
"201",202,1993-07-20,NA,NA,NA,FALSE,FALSE,FALSE,NA
"202",203,1993-07-21,NA,NA,NA,FALSE,FALSE,FALSE,NA
"203",204,1993-07-22,NA,NA,NA,FALSE,FALSE,FALSE,NA
"204",205,1993-07-23,NA,NA,NA,FALSE,FALSE,FALSE,NA
"205",206,1993-07-24,NA,NA,NA,FALSE,FALSE,FALSE,NA
"206",207,1993-07-25,NA,NA,NA,FALSE,FALSE,FALSE,NA
"207",208,1993-07-26,NA,NA,NA,FALSE,FALSE,FALSE,NA
"208",209,1993-07-27,NA,NA,NA,FALSE,FALSE,FALSE,NA
"209",210,1993-07-28,NA,NA,NA,FALSE,FALSE,FALSE,NA
"210",211,1993-07-29,NA,NA,NA,FALSE,FALSE,FALSE,NA
"211",212,1993-07-30,NA,NA,NA,FALSE,FALSE,FALSE,NA
"212",213,1993-07-31,NA,NA,NA,FALSE,FALSE,FALSE,NA
"213",214,1993-08-01,8.59455081893176,NA,NA,FALSE,FALSE,FALSE,NA
"214",215,1993-08-02,NA,NA,NA,FALSE,FALSE,FALSE,NA
"215",216,1993-08-03,NA,NA,NA,FALSE,FALSE,FALSE,NA
"216",217,1993-08-04,NA,NA,NA,FALSE,FALSE,FALSE,NA
"217",218,1993-08-05,NA,NA,NA,FALSE,FALSE,FALSE,NA
"218",219,1993-08-06,NA,NA,NA,FALSE,FALSE,FALSE,NA
"219",220,1993-08-07,NA,NA,NA,FALSE,FALSE,FALSE,NA
"220",221,1993-08-08,NA,NA,NA,FALSE,FALSE,FALSE,NA
"221",222,1993-08-09,NA,NA,NA,FALSE,FALSE,FALSE,NA
"222",223,1993-08-10,NA,NA,NA,FALSE,FALSE,FALSE,NA
"223",224,1993-08-11,NA,NA,NA,FALSE,FALSE,FALSE,NA
"224",225,1993-08-12,NA,NA,NA,FALSE,FALSE,FALSE,NA
"225",226,1993-08-13,NA,NA,NA,FALSE,FALSE,FALSE,NA
"226",227,1993-08-14,NA,NA,NA,FALSE,FALSE,FALSE,NA
"227",228,1993-08-15,NA,NA,NA,FALSE,FALSE,FALSE,NA
"228",229,1993-08-16,NA,NA,NA,FALSE,FALSE,FALSE,NA
"229",230,1993-08-17,NA,NA,NA,FALSE,FALSE,FALSE,NA
"230",231,1993-08-18,NA,NA,NA,FALSE,FALSE,FALSE,NA
"231",232,1993-08-19,NA,NA,NA,FALSE,FALSE,FALSE,NA
"232",233,1993-08-20,NA,NA,NA,FALSE,FALSE,FALSE,NA
"233",234,1993-08-21,NA,NA,NA,FALSE,FALSE,FALSE,NA
"234",235,1993-08-22,NA,NA,NA,FALSE,FALSE,FALSE,NA
"235",236,1993-08-23,NA,NA,NA,FALSE,FALSE,FALSE,NA
"236",237,1993-08-24,NA,NA,NA,FALSE,FALSE,FALSE,NA
"237",238,1993-08-25,NA,NA,NA,FALSE,FALSE,FALSE,NA
"238",239,1993-08-26,NA,NA,NA,FALSE,FALSE,FALSE,NA
"239",240,1993-08-27,NA,NA,NA,FALSE,FALSE,FALSE,NA
"240",241,1993-08-28,NA,NA,NA,FALSE,FALSE,FALSE,NA
"241",242,1993-08-29,NA,NA,NA,FALSE,FALSE,FALSE,NA
"242",243,1993-08-30,NA,NA,NA,FALSE,FALSE,FALSE,NA
"243",244,1993-08-31,NA,NA,NA,FALSE,FALSE,FALSE,NA
"244",245,1993-09-01,9.10164677188164,NA,NA,FALSE,FALSE,FALSE,NA
"245",246,1993-09-02,NA,NA,NA,FALSE,FALSE,FALSE,NA
"246",247,1993-09-03,NA,NA,NA,FALSE,FALSE,FALSE,NA
"247",248,1993-09-04,NA,NA,NA,FALSE,FALSE,FALSE,NA
"248",249,1993-09-05,NA,NA,NA,FALSE,FALSE,FALSE,NA
"249",250,1993-09-06,NA,NA,NA,FALSE,FALSE,FALSE,NA
"250",251,1993-09-07,NA,NA,NA,FALSE,FALSE,FALSE,NA
"251",252,1993-09-08,NA,NA,NA,FALSE,FALSE,FALSE,NA
"252",253,1993-09-09,NA,NA,NA,FALSE,FALSE,FALSE,NA
"253",254,1993-09-10,NA,NA,NA,FALSE,FALSE,FALSE,NA
"254",255,1993-09-11,NA,NA,NA,FALSE,FALSE,FALSE,NA
"255",256,1993-09-12,NA,NA,NA,FALSE,FALSE,FALSE,NA
"256",257,1993-09-13,NA,NA,NA,FALSE,FALSE,FALSE,NA
"257",258,1993-09-14,NA,NA,NA,FALSE,FALSE,FALSE,NA
"258",259,1993-09-15,NA,NA,NA,FALSE,FALSE,FALSE,NA
"259",260,1993-09-16,NA,NA,NA,FALSE,FALSE,FALSE,NA
"260",261,1993-09-17,NA,NA,NA,FALSE,FALSE,FALSE,NA
"261",262,1993-09-18,NA,NA,NA,FALSE,FALSE,FALSE,NA
"262",263,1993-09-19,NA,NA,NA,FALSE,FALSE,FALSE,NA
"263",264,1993-09-20,NA,NA,NA,FALSE,FALSE,FALSE,NA
"264",265,1993-09-21,NA,NA,NA,FALSE,FALSE,FALSE,NA
"265",266,1993-09-22,NA,NA,NA,FALSE,FALSE,FALSE,NA
"266",267,1993-09-23,NA,NA,NA,FALSE,FALSE,FALSE,NA
"267",268,1993-09-24,NA,NA,NA,FALSE,FALSE,FALSE,NA
"268",269,1993-09-25,NA,NA,NA,FALSE,FALSE,FALSE,NA
"269",270,1993-09-26,NA,NA,NA,FALSE,FALSE,FALSE,NA
"270",271,1993-09-27,NA,NA,NA,FALSE,FALSE,FALSE,NA
"271",272,1993-09-28,NA,NA,NA,FALSE,FALSE,FALSE,NA
"272",273,1993-09-29,NA,NA,NA,FALSE,FALSE,FALSE,NA
"273",274,1993-09-30,NA,NA,NA,FALSE,FALSE,FALSE,NA
"274",275,1993-10-01,9.90089411742803,NA,NA,FALSE,FALSE,FALSE,NA
"275",276,1993-10-02,NA,NA,NA,FALSE,FALSE,FALSE,NA
"276",277,1993-10-03,NA,NA,NA,FALSE,FALSE,FALSE,NA
"277",278,1993-10-04,NA,NA,NA,FALSE,FALSE,FALSE,NA
"278",279,1993-10-05,NA,NA,NA,FALSE,FALSE,FALSE,NA
"279",280,1993-10-06,NA,NA,NA,FALSE,FALSE,FALSE,NA
"280",281,1993-10-07,NA,NA,NA,FALSE,FALSE,FALSE,NA
"281",282,1993-10-08,NA,NA,NA,FALSE,FALSE,FALSE,NA
"282",283,1993-10-09,NA,NA,NA,FALSE,FALSE,FALSE,NA
"283",284,1993-10-10,NA,NA,NA,FALSE,FALSE,FALSE,NA
"284",285,1993-10-11,NA,NA,NA,FALSE,FALSE,FALSE,NA
"285",286,1993-10-12,NA,NA,NA,FALSE,FALSE,FALSE,NA
"286",287,1993-10-13,NA,NA,NA,FALSE,FALSE,FALSE,NA
"287",288,1993-10-14,NA,NA,NA,FALSE,FALSE,FALSE,NA
"288",289,1993-10-15,NA,NA,NA,FALSE,FALSE,FALSE,NA
"289",290,1993-10-16,NA,NA,NA,FALSE,FALSE,FALSE,NA
"290",291,1993-10-17,NA,NA,NA,FALSE,FALSE,FALSE,NA
"291",292,1993-10-18,NA,NA,NA,FALSE,FALSE,FALSE,NA
"292",293,1993-10-19,NA,NA,NA,FALSE,FALSE,FALSE,NA
"293",294,1993-10-20,NA,NA,NA,FALSE,FALSE,FALSE,NA
"294",295,1993-10-21,NA,NA,NA,FALSE,FALSE,FALSE,NA
"295",296,1993-10-22,NA,NA,NA,FALSE,FALSE,FALSE,NA
"296",297,1993-10-23,NA,NA,NA,FALSE,FALSE,FALSE,NA
"297",298,1993-10-24,NA,NA,NA,FALSE,FALSE,FALSE,NA
"298",299,1993-10-25,NA,NA,NA,FALSE,FALSE,FALSE,NA
"299",300,1993-10-26,NA,NA,NA,FALSE,FALSE,FALSE,NA
"300",301,1993-10-27,NA,NA,NA,FALSE,FALSE,FALSE,NA
"301",302,1993-10-28,NA,NA,NA,FALSE,FALSE,FALSE,NA
"302",303,1993-10-29,NA,NA,NA,FALSE,FALSE,FALSE,NA
"303",304,1993-10-30,NA,NA,NA,FALSE,FALSE,FALSE,NA
"304",305,1993-10-31,NA,NA,NA,FALSE,FALSE,FALSE,NA
"305",306,1993-11-01,10.6467679877107,NA,NA,FALSE,FALSE,FALSE,NA
"306",307,1993-11-02,NA,NA,NA,FALSE,FALSE,FALSE,NA
"307",308,1993-11-03,NA,NA,NA,FALSE,FALSE,FALSE,NA
"308",309,1993-11-04,NA,NA,NA,FALSE,FALSE,FALSE,NA
"309",310,1993-11-05,NA,NA,NA,FALSE,FALSE,FALSE,NA
"310",311,1993-11-06,NA,NA,NA,FALSE,FALSE,FALSE,NA
"311",312,1993-11-07,NA,NA,NA,FALSE,FALSE,FALSE,NA
"312",313,1993-11-08,NA,NA,NA,FALSE,FALSE,FALSE,NA
"313",314,1993-11-09,NA,NA,NA,FALSE,FALSE,FALSE,NA
"314",315,1993-11-10,NA,NA,NA,FALSE,FALSE,FALSE,NA
"315",316,1993-11-11,NA,NA,NA,FALSE,FALSE,FALSE,NA
"316",317,1993-11-12,NA,NA,NA,FALSE,FALSE,FALSE,NA
"317",318,1993-11-13,NA,NA,NA,FALSE,FALSE,FALSE,NA
"318",319,1993-11-14,NA,NA,NA,FALSE,FALSE,FALSE,NA
"319",320,1993-11-15,NA,NA,NA,FALSE,FALSE,FALSE,NA
"320",321,1993-11-16,NA,NA,NA,FALSE,FALSE,FALSE,NA
"321",322,1993-11-17,NA,NA,NA,FALSE,FALSE,FALSE,NA
"322",323,1993-11-18,NA,NA,NA,FALSE,FALSE,FALSE,NA
"323",324,1993-11-19,NA,NA,NA,FALSE,FALSE,FALSE,NA
"324",325,1993-11-20,NA,NA,NA,FALSE,FALSE,FALSE,NA
"325",326,1993-11-21,NA,NA,NA,FALSE,FALSE,FALSE,NA
"326",327,1993-11-22,NA,NA,NA,FALSE,FALSE,FALSE,NA
"327",328,1993-11-23,NA,NA,NA,FALSE,FALSE,FALSE,NA
"328",329,1993-11-24,NA,NA,NA,FALSE,FALSE,FALSE,NA
"329",330,1993-11-25,NA,NA,NA,FALSE,FALSE,FALSE,NA
"330",331,1993-11-26,NA,NA,NA,FALSE,FALSE,FALSE,NA
"331",332,1993-11-27,NA,NA,NA,FALSE,FALSE,FALSE,NA
"332",333,1993-11-28,NA,NA,NA,FALSE,FALSE,FALSE,NA
"333",334,1993-11-29,NA,NA,NA,FALSE,FALSE,FALSE,NA
"334",335,1993-11-30,NA,NA,NA,FALSE,FALSE,FALSE,NA
"335",336,1993-12-01,10.0118482658049,NA,NA,FALSE,FALSE,FALSE,NA
"336",337,1993-12-02,NA,NA,NA,FALSE,FALSE,FALSE,NA
"337",338,1993-12-03,NA,NA,NA,FALSE,FALSE,FALSE,NA
"338",339,1993-12-04,NA,NA,NA,FALSE,FALSE,FALSE,NA
"339",340,1993-12-05,NA,NA,NA,FALSE,FALSE,FALSE,NA
"340",341,1993-12-06,NA,NA,NA,FALSE,FALSE,FALSE,NA
"341",342,1993-12-07,NA,NA,NA,FALSE,FALSE,FALSE,NA
"342",343,1993-12-08,NA,NA,NA,FALSE,FALSE,FALSE,NA
"343",344,1993-12-09,NA,NA,NA,FALSE,FALSE,FALSE,NA
"344",345,1993-12-10,NA,NA,NA,FALSE,FALSE,FALSE,NA
"345",346,1993-12-11,NA,NA,NA,FALSE,FALSE,FALSE,NA
"346",347,1993-12-12,NA,NA,NA,FALSE,FALSE,FALSE,NA
"347",348,1993-12-13,NA,NA,NA,FALSE,FALSE,FALSE,NA
"348",349,1993-12-14,NA,NA,NA,FALSE,FALSE,FALSE,NA
"349",350,1993-12-15,NA,NA,NA,FALSE,FALSE,FALSE,NA
"350",351,1993-12-16,NA,NA,NA,FALSE,FALSE,FALSE,NA
"351",352,1993-12-17,NA,NA,NA,FALSE,FALSE,FALSE,NA
"352",353,1993-12-18,NA,NA,NA,FALSE,FALSE,FALSE,NA
"353",354,1993-12-19,NA,NA,NA,FALSE,FALSE,FALSE,NA
"354",355,1993-12-20,NA,NA,NA,FALSE,FALSE,FALSE,NA
"355",356,1993-12-21,NA,NA,NA,FALSE,FALSE,FALSE,NA
