"","doy","t","temp","seas","thresh"
"89",90,1982-03-30,6.50054054054054,6.9354,8.0965
"90",91,1982-03-31,6.26391891891892,6.9843,8.1388
"91",92,1982-04-01,6.11256756756757,7.0372,8.1875
"92",93,1982-04-02,6.04783783783784,7.0942,8.2393
"93",94,1982-04-03,5.97756756756757,7.1552,8.296
"94",95,1982-04-04,5.97364864864865,7.22,8.3576
"95",96,1982-04-05,5.99527027027027,7.2886,8.4261
"96",97,1982-04-06,5.91243243243243,7.3608,8.498
"97",98,1982-04-07,5.86635135135135,7.4366,8.5756
"98",99,1982-04-08,5.98310810810811,7.5157,8.6567
"99",100,1982-04-09,6.2454054054054,7.5972,8.7406
"100",101,1982-04-10,6.56932432432432,7.6811,8.8298
"101",102,1982-04-11,6.80567567567568,7.7676,8.9216
"102",103,1982-04-12,6.90567567567568,7.8564,9.017
"103",104,1982-04-13,6.99297297297297,7.9474,9.113
"104",105,1982-04-14,7.28067567567568,8.041,9.2113
"105",106,1982-04-15,7.49324324324324,8.1369,9.3092
"106",107,1982-04-16,7.68635135135135,8.2355,9.4102
"107",108,1982-04-17,8.05945945945946,8.3366,9.514
"108",109,1982-04-18,8.24837837837838,8.4402,9.6191
"109",110,1982-04-19,8.52824324324324,8.5466,9.7265
"110",111,1982-04-20,8.60662162162162,8.6556,9.8375
"111",112,1982-04-21,8.82283783783784,8.7673,9.9529
"112",113,1982-04-22,8.82662162162162,8.8814,10.0703
"113",114,1982-04-23,8.70783783783784,8.998,10.1879
"114",115,1982-04-24,8.68162162162162,9.1172,10.3108
"115",116,1982-04-25,8.86418918918919,9.2386,10.4352
"116",117,1982-04-26,9.14918918918919,9.3624,10.5632
"117",118,1982-04-27,9.27851351351351,9.488,10.6967
"118",119,1982-04-28,9.23405405405405,9.6153,10.8381
"119",120,1982-04-29,9.11283783783784,9.7438,10.981
"120",121,1982-04-30,8.89013513513514,9.8731,11.123
"121",122,1982-05-01,9.0495945945946,10.0032,11.2632
"122",123,1982-05-02,9.78472972972973,10.1341,11.4026
"123",124,1982-05-03,10.3135135135135,10.266,11.5435
"124",125,1982-05-04,10.8531081081081,10.3994,11.6836
"125",126,1982-05-05,11.3221621621622,10.5342,11.8249
"126",127,1982-05-06,11.4543243243243,10.6701,11.9639
"127",128,1982-05-07,11.5005405405405,10.807,12.1081
"128",129,1982-05-08,11.3602702702703,10.9453,12.2566
"129",130,1982-05-09,11.2212162162162,11.0852,12.4077
"130",131,1982-05-10,11.0633783783784,11.2275,12.5609
"131",132,1982-05-11,11.0922972972973,11.373,12.7202
"132",133,1982-05-12,11.3916216216216,11.5214,12.8875
"133",134,1982-05-13,11.5990540540541,11.6727,13.06
"134",135,1982-05-14,11.5056756756757,11.8263,13.2432
"135",136,1982-05-15,11.6425675675676,11.9809,13.4284
"136",137,1982-05-16,12.0041891891892,12.1361,13.6155
"137",138,1982-05-17,12.2544594594595,12.2922,13.8019
"138",139,1982-05-18,12.4266216216216,12.4493,13.9849
"139",140,1982-05-19,12.7202702702703,12.6074,14.1689
"140",141,1982-05-20,12.687972972973,12.7666,14.3547
"141",142,1982-05-21,12.7827027027027,12.9267,14.5382
"142",143,1982-05-22,12.7072972972973,13.0875,14.7201
"143",144,1982-05-23,12.95,13.2492,14.902
"144",145,1982-05-24,13.1859459459459,13.4114,15.0861
"145",146,1982-05-25,13.5202702702703,13.5746,15.2666
"146",147,1982-05-26,13.8462162162162,13.7393,15.4558
"147",148,1982-05-27,13.8181081081081,13.9058,15.6479
"148",149,1982-05-28,14.0102702702703,14.0745,15.8384
"149",150,1982-05-29,14.3587837837838,14.2451,16.0238
"150",151,1982-05-30,14.7786486486486,14.418,16.208
"151",152,1982-05-31,14.8725675675676,14.5931,16.3904
"152",153,1982-06-01,15.4010810810811,14.7699,16.5737
"153",154,1982-06-02,15.7743243243243,14.948,16.7566
"154",155,1982-06-03,15.9051351351351,15.1272,16.9412
"155",156,1982-06-04,15.8975675675676,15.3075,17.126
"156",157,1982-06-05,15.1201351351351,15.4892,17.3115
"157",158,1982-06-06,13.6572972972973,15.6721,17.4993
"158",159,1982-06-07,12.8755405405405,15.8562,17.688
"159",160,1982-06-08,12.6012162162162,16.0412,17.8769
"160",161,1982-06-09,13.0236486486486,16.2266,18.0719
"161",162,1982-06-10,13.1954054054054,16.4114,18.2654
"162",163,1982-06-11,13.1431081081081,16.5952,18.4526
"163",164,1982-06-12,13.1164864864865,16.7777,18.6326
"164",165,1982-06-13,13.1532432432432,16.9589,18.8057
"165",166,1982-06-14,12.5687837837838,17.1393,18.9687
"166",167,1982-06-15,13.1135135135135,17.3189,19.1288
"167",168,1982-06-16,14.5491891891892,17.4977,19.2874
"168",169,1982-06-17,15.2232432432432,17.6755,19.4496
"169",170,1982-06-18,15.6381081081081,17.852,19.6142
"170",171,1982-06-19,15.9290540540541,18.0276,19.7782
"171",172,1982-06-20,15.682972972973,18.2024,19.9399
"172",173,1982-06-21,15.5047297297297,18.3767,20.1008
"173",174,1982-06-22,15.4363513513514,18.5502,20.2629
"174",175,1982-06-23,16.6768918918919,18.7225,20.423
"175",176,1982-06-24,16.9698648648649,18.894,20.5845
"176",177,1982-06-25,16.8364864864865,19.0644,20.7446
"177",178,1982-06-26,16.8605405405405,19.2331,20.8997
"178",179,1982-06-27,17.6975675675676,19.3993,21.0512
"179",180,1982-06-28,17.9458108108108,19.5635,21.2015
"180",181,1982-06-29,18.5533783783784,19.7258,21.3502
"181",182,1982-06-30,18.5872972972973,19.8852,21.4969
"182",183,1982-07-01,18.232027027027,20.0412,21.6446
"183",184,1982-07-02,18.162972972973,20.1938,21.7904
"184",185,1982-07-03,18.1260810810811,20.3433,21.9355
"185",186,1982-07-04,18.0551351351351,20.4897,22.076
"186",187,1982-07-05,18.3087837837838,20.6316,22.2143
"187",188,1982-07-06,18.7666216216216,20.7683,22.3458
"188",189,1982-07-07,19.6114864864865,20.8999,22.4716
"189",190,1982-07-08,20.0901351351351,21.0263,22.5902
"190",191,1982-07-09,20.3063513513514,21.1471,22.699
"191",192,1982-07-10,21.0243243243243,21.2624,22.796
"192",193,1982-07-11,21.6137837837838,21.3731,22.8911
"193",194,1982-07-12,21.6960810810811,21.4791,22.9829
"194",195,1982-07-13,21.9178378378378,21.5809,23.0736
"195",196,1982-07-14,22.8008108108108,21.6788,23.1646
"196",197,1982-07-15,22.4260810810811,21.7733,23.2536
"197",198,1982-07-16,22.2545945945946,21.865,23.3404
"198",199,1982-07-17,22.5144594594595,21.9541,23.426
"199",200,1982-07-18,23.07,22.0407,23.5043
"200",201,1982-07-19,23.4432432432432,22.1249,23.5815
"201",202,1982-07-20,23.0309459459459,22.2059,23.6565
"202",203,1982-07-21,22.4963513513514,22.2834,23.7291
"203",204,1982-07-22,22.5002702702703,22.3571,23.7982
"204",205,1982-07-23,22.4132432432432,22.4272,23.8621
"205",206,1982-07-24,22.5071621621622,22.4938,23.9226
"206",207,1982-07-25,22.4472972972973,22.5561,23.9755
"207",208,1982-07-26,22.4747297297297,22.614,24.0255
"208",209,1982-07-27,22.6433783783784,22.6676,24.0688
"209",210,1982-07-28,22.0643243243243,22.7176,24.1085
"210",211,1982-07-29,21.832972972973,22.7638,24.145
"211",212,1982-07-30,21.8182432432432,22.8058,24.1784
"212",213,1982-07-31,21.7837837837838,22.8442,24.2094
"213",214,1982-08-01,22.0986486486486,22.8792,24.2381
"214",215,1982-08-02,22.5821621621622,22.9109,24.2642
"215",216,1982-08-03,22.5621621621622,22.939,24.2866
"216",217,1982-08-04,22.2621621621622,22.9629,24.3071
"217",218,1982-08-05,22.147972972973,22.9831,24.3261
"218",219,1982-08-06,21.9189189189189,23.0003,24.3447
"219",220,1982-08-07,21.9116216216216,23.0146,24.3589
"220",221,1982-08-08,22.0267567567568,23.0253,24.3711
"221",222,1982-08-09,22.0166216216216,23.0322,24.3805
"222",223,1982-08-10,22.1744594594595,23.0356,24.3847
"223",224,1982-08-11,22.2681081081081,23.0355,24.3829
"224",225,1982-08-12,22.052027027027,23.0319,24.3766
"225",226,1982-08-13,21.9616216216216,23.0245,24.3652
"226",227,1982-08-14,21.7974324324324,23.0131,24.3476
"227",228,1982-08-15,21.6936486486486,22.998,24.3265
"228",229,1982-08-16,21.8,22.9788,24.3033
"229",230,1982-08-17,21.9116216216216,22.9553,24.2763
"230",231,1982-08-18,22.2586486486486,22.9274,24.2454
"231",232,1982-08-19,22.6245945945946,22.8958,24.2108
"232",233,1982-08-20,22.6509459459459,22.8613,24.1715
"233",234,1982-08-21,22.4513513513514,22.8237,24.1291
"234",235,1982-08-22,22.4718918918919,22.7831,24.0854
"235",236,1982-08-23,22.457027027027,22.7397,24.0362
"236",237,1982-08-24,21.6897297297297,22.6938,23.9852
"237",238,1982-08-25,21.1081081081081,22.6461,23.932
"238",239,1982-08-26,20.7882432432432,22.5965,23.8774
"239",240,1982-08-27,20.9412162162162,22.545,23.8217
"240",241,1982-08-28,20.8198648648649,22.4908,23.763
"241",242,1982-08-29,20.2135135135135,22.4338,23.7022
"242",243,1982-08-30,19.7539189189189,22.3741,23.6391
"243",244,1982-08-31,19.4824324324324,22.3122,23.575
"244",245,1982-09-01,19.3360810810811,22.2481,23.5093
"245",246,1982-09-02,20.1591891891892,22.1819,23.4414
"246",247,1982-09-03,20.3325675675676,22.1135,23.3709
"247",248,1982-09-04,20.2237837837838,22.0431,23.292
"248",249,1982-09-05,20.2228378378378,21.9708,23.2087
"249",250,1982-09-06,20.0847297297297,21.8965,23.1234
"250",251,1982-09-07,19.737027027027,21.8208,23.0376
"251",252,1982-09-08,19.37,21.7447,22.9506
"252",253,1982-09-09,19.6101351351351,21.6683,22.8636
"253",254,1982-09-10,20.3543243243243,21.5912,22.7794
"254",255,1982-09-11,20.9975675675676,21.5127,22.6947
"255",256,1982-09-12,20.9397297297297,21.4324,22.6098
"256",257,1982-09-13,20.3728378378378,21.3505,22.5255
"257",258,1982-09-14,20.2931081081081,21.267,22.4399
"258",259,1982-09-15,20.537027027027,21.1813,22.3524
"259",260,1982-09-16,20.4878378378378,21.0937,22.2631
"260",261,1982-09-17,20.255,21.004,22.172
"261",262,1982-09-18,20.2006756756757,20.9125,22.0803
"262",263,1982-09-19,20.1552702702703,20.8184,21.9843
"263",264,1982-09-20,20.1248648648649,20.7215,21.8887
"264",265,1982-09-21,20.0971621621622,20.6222,21.7902
"265",266,1982-09-22,20.0581081081081,20.5208,21.6915
"266",267,1982-09-23,20.0640540540541,20.4174,21.5929
"267",268,1982-09-24,20.0583783783784,20.312,21.4923
"268",269,1982-09-25,19.9485135135135,20.2045,21.3918
"269",270,1982-09-26,20.0093243243243,20.0951,21.2913
"270",271,1982-09-27,20.142027027027,19.984,21.188
"271",272,1982-09-28,20.1375675675676,19.871,21.0844
"272",273,1982-09-29,18.4924324324324,19.7565,20.9805
"273",274,1982-09-30,18.3182432432432,19.6402,20.8759
"274",275,1982-10-01,18.6331081081081,19.5223,20.7708
"275",276,1982-10-02,18.8944594594595,19.4029,20.6598
"276",277,1982-10-03,18.9151351351351,19.2818,20.5454
"277",278,1982-10-04,19.3459459459459,19.1593,20.4278
"278",279,1982-10-05,19.1512162162162,19.0356,20.3151
"279",280,1982-10-06,19.1098648648649,18.9108,20.2021
"280",281,1982-10-07,18.9293243243243,18.7853,20.0856
"281",282,1982-10-08,18.8722972972973,18.6588,19.9705
"282",283,1982-10-09,18.8671621621622,18.5313,19.8531
"283",284,1982-10-10,18.3433783783784,18.4028,19.7354
"284",285,1982-10-11,17.9917567567568,18.2736,19.6143
"285",286,1982-10-12,17.9136486486486,18.1439,19.4934
"286",287,1982-10-13,17.6293243243243,18.0142,19.3716
"287",288,1982-10-14,17.0805405405405,17.8846,19.2477
"288",289,1982-10-15,16.9071621621622,17.7552,19.1255
"289",290,1982-10-16,16.8577027027027,17.6262,19.0049
"290",291,1982-10-17,16.6793243243243,17.4974,18.8863
"291",292,1982-10-18,16.6451351351351,17.3691,18.7616
"292",293,1982-10-19,16.6827027027027,17.2411,18.6358
"293",294,1982-10-20,16.5455405405405,17.1136,18.5129
"294",295,1982-10-21,16.3735135135135,16.9867,18.392
"295",296,1982-10-22,16.1018918918919,16.8604,18.2732
"296",297,1982-10-23,15.9741891891892,16.7347,18.1541
"297",298,1982-10-24,15.6635135135135,16.6093,18.0344
"298",299,1982-10-25,15.5958108108108,16.4844,17.9164
"299",300,1982-10-26,14.9374324324324,16.3603,17.7972
"300",301,1982-10-27,15.0068918918919,16.2367,17.676
"301",302,1982-10-28,15.2258108108108,16.114,17.555
"302",303,1982-10-29,15.2359459459459,15.9921,17.4349
"303",304,1982-10-30,15.1118918918919,15.871,17.3141
"304",305,1982-10-31,15.3024324324324,15.7508,17.1894
"305",306,1982-11-01,15.5233783783784,15.6318,17.0643
"306",307,1982-11-02,15.4663513513514,15.5139,16.9423
"307",308,1982-11-03,15.8041891891892,15.3976,16.8218
"308",309,1982-11-04,16.3939189189189,15.2832,16.703
"309",310,1982-11-05,16.1581081081081,15.1706,16.5854
"310",311,1982-11-06,15.68,15.0597,16.4704
"311",312,1982-11-07,15.4393243243243,14.9501,16.3581
"312",313,1982-11-08,15.2635135135135,14.8418,16.2466
"313",314,1982-11-09,15.0877027027027,14.7347,16.1381
"314",315,1982-11-10,14.8724324324324,14.6291,16.0299
"315",316,1982-11-11,14.5709459459459,14.5251,15.9243
"316",317,1982-11-12,14.4781081081081,14.4226,15.8186
"317",318,1982-11-13,14.6209459459459,14.3216,15.7146
"318",319,1982-11-14,14.5752702702703,14.2219,15.6127
"319",320,1982-11-15,14.3687837837838,14.1229,15.5101
"320",321,1982-11-16,14.3212162162162,14.0244,15.4081
"321",322,1982-11-17,14.2927027027027,13.9267,15.3038
"322",323,1982-11-18,13.8483783783784,13.8296,15.2081
"323",324,1982-11-19,13.8495945945946,13.7332,15.1161
"324",325,1982-11-20,13.9321621621622,13.6376,15.0259
"325",326,1982-11-21,13.5527027027027,13.5426,14.9349
"326",327,1982-11-22,13.6143243243243,13.4482,14.846
"327",328,1982-11-23,13.6731081081081,13.3544,14.7583
"328",329,1982-11-24,13.5795945945946,13.2613,14.6757
"329",330,1982-11-25,13.7381081081081,13.1689,14.5929
"330",331,1982-11-26,13.4158108108108,13.0772,14.5128
"331",332,1982-11-27,12.7594594594595,12.9862,14.4357
"332",333,1982-11-28,12.795,12.896,14.3608
"333",334,1982-11-29,13.5171621621622,12.8068,14.2842
"334",335,1982-11-30,13.6193243243243,12.7187,14.2057
"335",336,1982-12-01,13.572972972973,12.6317,14.1318
"336",337,1982-12-02,12.8439189189189,12.5457,14.0588
"337",338,1982-12-03,12.7378378378378,12.4607,13.9864
"338",339,1982-12-04,13.1641891891892,12.376,13.9132
"339",340,1982-12-05,13.2302702702703,12.291,13.8421
"340",341,1982-12-06,13.1043243243243,12.206,13.7688
"341",342,1982-12-07,13.0471621621622,12.1213,13.695
"342",343,1982-12-08,13.262027027027,12.0372,13.6235
"343",344,1982-12-09,13.2877027027027,11.9535,13.5503
"344",345,1982-12-10,12.7867567567568,11.8699,13.4759
"345",346,1982-12-11,12.537027027027,11.7863,13.4027
"346",347,1982-12-12,12.0556756756757,11.7024,13.3291
"347",348,1982-12-13,12.4475675675676,11.618,13.2567
"348",349,1982-12-14,12.6874324324324,11.5328,13.1829
"349",350,1982-12-15,12.7471621621622,11.4471,13.1101
"350",351,1982-12-16,12.4437837837838,11.3613,13.0379
"351",352,1982-12-17,12.1016216216216,11.2756,12.9643
"352",353,1982-12-18,11.8047297297297,11.1897,12.8911
"353",354,1982-12-19,11.5771621621622,11.1036,12.8117
"354",355,1982-12-20,11.4848648648649,11.0174,12.7285
"355",356,1982-12-21,11.6889189189189,10.9312,12.6427
"356",357,1982-12-22,11.7572972972973,10.8449,12.5572
"357",358,1982-12-23,11.7606756756757,10.7587,12.4684
"358",359,1982-12-24,11.7139189189189,10.6726,12.379
"359",360,1982-12-25,11.6427027027027,10.5865,12.2903
"360",361,1982-12-26,11.4735135135135,10.5004,12.2025
"361",362,1982-12-27,11.4364864864865,10.4142,12.1133
"362",363,1982-12-28,11.2756756756757,10.3279,12.0192
"363",364,1982-12-29,11.3658108108108,10.2414,11.9217
"364",365,1982-12-30,11.3563513513514,10.1545,11.8273
"365",366,1982-12-31,11.3521621621622,10.0671,11.7366
"366",1,1983-01-01,11.2798648648649,9.9792,11.6439
"367",2,1983-01-02,11.1827027027027,9.8907,11.5492
"368",3,1983-01-03,10.7306756756757,9.8017,11.4559
"369",4,1983-01-04,10.7602702702703,9.7124,11.3645
"370",5,1983-01-05,10.8632432432432,9.6234,11.2699
"371",6,1983-01-06,11.0602702702703,9.5346,11.1727
"372",7,1983-01-07,11.1,9.4459,11.0758
"373",8,1983-01-08,11.2285135135135,9.3569,10.9777
"374",9,1983-01-09,11.2524324324324,9.2676,10.8815
"375",10,1983-01-10,10.9801351351351,9.1784,10.7858
"376",11,1983-01-11,10.972027027027,9.0892,10.6875
"377",12,1983-01-12,10.4893243243243,9.0006,10.5919
"378",13,1983-01-13,10.4324324324324,8.9133,10.4985
"379",14,1983-01-14,10.3943243243243,8.8276,10.4075
"380",15,1983-01-15,10.3685135135135,8.7434,10.3136
"381",16,1983-01-16,10.1456756756757,8.6607,10.2215
"382",17,1983-01-17,9.84486486486487,8.5793,10.1326
"383",18,1983-01-18,9.4054054054054,8.4994,10.0449
"384",19,1983-01-19,9.12797297297297,8.4214,9.9622
"385",20,1983-01-20,9.43851351351351,8.3455,9.8801
"386",21,1983-01-21,9.5077027027027,8.2715,9.7984
"387",22,1983-01-22,9.30932432432432,8.1995,9.717
"388",23,1983-01-23,9.0072972972973,8.1292,9.6372
"389",24,1983-01-24,9.06554054054054,8.0602,9.5569
"390",25,1983-01-25,8.94945945945946,7.9925,9.4738
"391",26,1983-01-26,8.6877027027027,7.9262,9.3911
"392",27,1983-01-27,8.38608108108108,7.8612,9.31
"393",28,1983-01-28,8.34878378378378,7.798,9.2314
"394",29,1983-01-29,8.22459459459459,7.7365,9.1561
"395",30,1983-01-30,9.16527027027027,7.6764,9.0792
"396",31,1983-01-31,9.13972972972973,7.6178,9.002
"397",32,1983-02-01,9.02162162162162,7.5605,8.9284
"398",33,1983-02-02,8.98081081081081,7.5047,8.857
"399",34,1983-02-03,8.54918918918919,7.4504,8.7859
"400",35,1983-02-04,8.31743243243243,7.3979,8.7153
"401",36,1983-02-05,8.29324324324324,7.347,8.6481
"402",37,1983-02-06,8.08851351351351,7.2976,8.5863
"403",38,1983-02-07,7.87175675675676,7.2496,8.5263
"404",39,1983-02-08,8.24743243243243,7.2033,8.4674
"405",40,1983-02-09,8.41202702702703,7.1588,8.4098
"406",41,1983-02-10,8.57621621621622,7.116,8.3526
"407",42,1983-02-11,8.58054054054054,7.075,8.2985
"408",43,1983-02-12,8.17283783783784,7.0358,8.2448
"409",44,1983-02-13,8.15608108108108,6.998,8.1932
"410",45,1983-02-14,8.24216216216216,6.9614,8.1422
"411",46,1983-02-15,8.16472972972973,6.9257,8.0944
"412",47,1983-02-16,7.91324324324324,6.8914,8.0485
"413",48,1983-02-17,7.75148648648649,6.8589,8.0033
"414",49,1983-02-18,7.66675675675676,6.828,7.9601
"415",50,1983-02-19,7.87675675675676,6.7984,7.9199
"416",51,1983-02-20,7.89175675675676,6.77,7.8842
"417",52,1983-02-21,7.96162162162162,6.7428,7.8513
"418",53,1983-02-22,7.86148648648649,6.7166,7.8203
"419",54,1983-02-23,7.26391891891892,6.6917,7.7931
"420",55,1983-02-24,7.03554054054054,6.6683,7.7695
"421",56,1983-02-25,7.16743243243243,6.6465,7.7498
"422",57,1983-02-26,7.08567567567568,6.6263,7.7331
"423",58,1983-02-27,7.16905405405405,6.6069,7.7176
"424",59,1983-02-28,7.28675675675676,6.5882,7.7051
"425",61,1983-03-01,7.14743243243243,6.5538,7.6852
"426",62,1983-03-02,7.6222972972973,6.5382,7.6777
"427",63,1983-03-03,7.60189189189189,6.5239,7.6709
"428",64,1983-03-04,7.55905405405405,6.5109,7.6653
"429",65,1983-03-05,7.47594594594595,6.4994,7.661
"430",66,1983-03-06,7.63351351351351,6.4892,7.6584
"431",67,1983-03-07,7.71972972972973,6.4807,7.6572
"432",68,1983-03-08,8.64648648648649,6.4743,7.6579
"433",69,1983-03-09,8.98364864864865,6.4706,7.6596
"434",70,1983-03-10,8.76810810810811,6.4695,7.6632
"435",71,1983-03-11,8.10364864864865,6.4707,7.6673
"436",72,1983-03-12,7.28243243243243,6.4744,7.6736
"437",73,1983-03-13,7.30027027027027,6.4805,7.6827
"438",74,1983-03-14,7.36864864864865,6.4896,7.6931
"439",75,1983-03-15,7.55486486486487,6.5015,7.7052
"440",76,1983-03-16,7.68135135135135,6.5162,7.7201
"441",77,1983-03-17,7.48959459459459,6.5336,7.7376
"442",78,1983-03-18,7.34418918918919,6.5531,7.7561
"443",79,1983-03-19,7.33851351351351,6.5745,7.7764
"444",80,1983-03-20,7.21635135135135,6.5973,7.7992
"445",81,1983-03-21,6.92608108108108,6.6219,7.8231
"446",82,1983-03-22,6.85472972972973,6.6485,7.8488
"447",83,1983-03-23,7.08986486486487,6.6769,7.8774
"448",84,1983-03-24,7.13743243243243,6.7073,7.908
"449",85,1983-03-25,7.20554054054054,6.7395,7.9384
"450",86,1983-03-26,7.31324324324324,6.7735,7.968
"451",87,1983-03-27,7.29351351351351,6.8097,7.9973
"452",88,1983-03-28,7.36810810810811,6.8483,8.0268
"453",89,1983-03-29,7.40108108108108,6.8901,8.0594
"454",90,1983-03-30,7.46256756756757,6.9354,8.0965
"455",91,1983-03-31,7.46635135135135,6.9843,8.1388
"456",92,1983-04-01,7.68445945945946,7.0372,8.1875
"457",93,1983-04-02,7.81256756756757,7.0942,8.2393
"458",94,1983-04-03,7.87189189189189,7.1552,8.296
"459",95,1983-04-04,7.59972972972973,7.22,8.3576
"460",96,1983-04-05,7.64824324324324,7.2886,8.4261
"461",97,1983-04-06,7.72081081081081,7.3608,8.498
"462",98,1983-04-07,8.38067567567568,7.4366,8.5756
"463",99,1983-04-08,8.50527027027027,7.5157,8.6567
"464",100,1983-04-09,8.52513513513514,7.5972,8.7406
"465",101,1983-04-10,8.62175675675676,7.6811,8.8298
"466",102,1983-04-11,8.14013513513514,7.7676,8.9216
"467",103,1983-04-12,8.00189189189189,7.8564,9.017
"468",104,1983-04-13,8.04986486486487,7.9474,9.113
"469",105,1983-04-14,8.18189189189189,8.041,9.2113
"470",106,1983-04-15,8.2172972972973,8.1369,9.3092
