"","Year","Variable","Val","Loc","season","Intercept","N"
"89",1992,"Strat_summer_insitu",-0.145986999475956,"NES","Winter",-7.94461826355469,527
"90",1993,"Strat_summer_insitu",-0.0495188781176006,"NES","Winter",-7.94461826355469,450
"91",1994,"Strat_summer_insitu",0.0755018634365123,"NES","Winter",-7.94461826355469,400
"92",1995,"Strat_summer_insitu",-0.0521704128414962,"NES","Winter",-7.94461826355469,449
"93",1996,"Strat_summer_insitu",-0.0462178573384875,"NES","Winter",-7.94461826355469,509
"94",1997,"Strat_summer_insitu",0.31367829626002,"NES","Winter",-7.94461826355469,866
"95",1998,"Strat_summer_insitu",-0.00815478131472125,"NES","Winter",-7.94461826355469,670
"96",1999,"Strat_summer_insitu",-0.0720411868989721,"NES","Winter",-7.94461826355469,861
"97",2000,"Strat_summer_insitu",0.0418774549827949,"NES","Winter",-7.94461826355469,281
"98",2001,"Strat_summer_insitu",-0.148270614237225,"NES","Winter",-7.94461826355469,378
"99",2002,"Strat_summer_insitu",-0.269742950940218,"NES","Winter",-7.94461826355469,397
"100",2003,"Strat_summer_insitu",-0.0746572383661027,"NES","Winter",-7.94461826355469,219
"101",2004,"Strat_summer_insitu",-0.161646392742498,"NES","Winter",-7.94461826355469,313
"102",2005,"Strat_summer_insitu",-0.0913066047960775,"NES","Winter",-7.94461826355469,339
"103",2006,"Strat_summer_insitu",0.180742216895019,"NES","Winter",-7.94461826355469,397
"104",2007,"Strat_summer_insitu",-0.110437430389185,"NES","Winter",-7.94461826355469,404
"105",2008,"Strat_summer_insitu",-0.134713897739157,"NES","Winter",-7.94461826355469,343
"106",2009,"Strat_summer_insitu",0.103349923796155,"NES","Winter",-7.94461826355469,339
"107",2010,"Strat_summer_insitu",-0.0654800189874423,"NES","Winter",-7.94461826355469,314
"108",2011,"Strat_summer_insitu",-0.115530838688197,"NES","Winter",-7.94461826355469,385
"109",2012,"Strat_summer_insitu",0.280797913774589,"NES","Winter",-7.94461826355469,421
"110",2013,"Strat_summer_insitu",-0.206218128636641,"NES","Winter",-7.94461826355469,296
"111",2014,"Strat_summer_insitu",-0.365652044935384,"NES","Winter",-7.94461826355469,169
"112",2015,"Strat_summer_insitu",0.18709348212813,"NES","Winter",-7.94461826355469,113
"113",2016,"Strat_summer_insitu",-0.0783356691824586,"NES","Winter",-7.94461826355469,22
"114",2017,"Strat_summer_insitu",-0.290838879802868,"NES","Winter",-7.94461826355469,254
"115",2018,"Strat_summer_insitu",0.228446638661768,"NES","Winter",-7.94461826355469,67
"116",2019,"Strat_summer_insitu",0.316418355747454,"NES","Winter",-7.94461826355469,207
"117",2020,"Strat_summer_insitu",-0.00258207118403128,"NES","Winter",-7.94461826355469,157
"118",2021,"Strat_summer_insitu",-0.239361900054128,"NES","Winter",-7.94461826355469,113
"119",2022,"Strat_summer_insitu",-0.00656255009724524,"NES","Winter",-7.94461826355469,178
"120",2024,"Strat_summer_insitu",-0.0552280704357112,"NES","Winter",-7.94461826355469,69
"121",1975,"Strat_summer_insitu",-0.293398102417563,"MAB","Spring",-6.84235561726319,98
"122",1976,"Strat_summer_insitu",0.190506478983573,"MAB","Spring",-6.84235561726319,123
"123",1977,"Strat_summer_insitu",0.174528817495004,"MAB","Spring",-6.84235561726319,194
"124",1978,"Strat_summer_insitu",0.278418654414319,"MAB","Spring",-6.84235561726319,196
"125",1979,"Strat_summer_insitu",0.123251304825052,"MAB","Spring",-6.84235561726319,185
"126",1982,"Strat_summer_insitu",0.221027874451429,"MAB","Spring",-6.84235561726319,79
"127",1984,"Strat_summer_insitu",0.368991135089995,"MAB","Spring",-6.84235561726319,28
"128",1985,"Strat_summer_insitu",-0.074324894166294,"MAB","Spring",-6.84235561726319,21
"129",1987,"Strat_summer_insitu",-0.302153603756622,"MAB","Spring",-6.84235561726319,197
"130",1988,"Strat_summer_insitu",0.167963993986003,"MAB","Spring",-6.84235561726319,18
"131",1989,"Strat_summer_insitu",0.228079047779129,"MAB","Spring",-6.84235561726319,353
"132",1990,"Strat_summer_insitu",-2.68553826840848,"MAB","Spring",-6.84235561726319,6
"133",1991,"Strat_summer_insitu",0.043710101863619,"MAB","Spring",-6.84235561726319,4
"134",1992,"Strat_summer_insitu",-0.209987448931177,"MAB","Spring",-6.84235561726319,87
"135",1993,"Strat_summer_insitu",0.394749183679587,"MAB","Spring",-6.84235561726319,57
"136",1994,"Strat_summer_insitu",0.48121392698495,"MAB","Spring",-6.84235561726319,70
"137",1995,"Strat_summer_insitu",0.0237705002969492,"MAB","Spring",-6.84235561726319,61
"138",1996,"Strat_summer_insitu",0.118085217089114,"MAB","Spring",-6.84235561726319,196
"139",1997,"Strat_summer_insitu",-0.346398227914133,"MAB","Spring",-6.84235561726319,42
"140",1998,"Strat_summer_insitu",0.342234705242285,"MAB","Spring",-6.84235561726319,399
"141",1999,"Strat_summer_insitu",0.0021283134001065,"MAB","Spring",-6.84235561726319,34
"142",2000,"Strat_summer_insitu",0.0603475497590934,"MAB","Spring",-6.84235561726319,89
"143",2001,"Strat_summer_insitu",-0.149579788483812,"MAB","Spring",-6.84235561726319,99
"144",2002,"Strat_summer_insitu",-0.302278943439365,"MAB","Spring",-6.84235561726319,66
"145",2003,"Strat_summer_insitu",0.188520225877617,"MAB","Spring",-6.84235561726319,38
"146",2004,"Strat_summer_insitu",0.177238431965372,"MAB","Spring",-6.84235561726319,112
"147",2005,"Strat_summer_insitu",-0.308112544161525,"MAB","Spring",-6.84235561726319,203
"148",2006,"Strat_summer_insitu",0.275652334481741,"MAB","Spring",-6.84235561726319,71
"149",2007,"Strat_summer_insitu",0.0948407408255227,"MAB","Spring",-6.84235561726319,65
"150",2008,"Strat_summer_insitu",0.247298738556324,"MAB","Spring",-6.84235561726319,215
"151",2009,"Strat_summer_insitu",0.0407192885288786,"MAB","Spring",-6.84235561726319,156
"152",2010,"Strat_summer_insitu",0.173630892029993,"MAB","Spring",-6.84235561726319,150
"153",2011,"Strat_summer_insitu",0.188009176573076,"MAB","Spring",-6.84235561726319,154
"154",2012,"Strat_summer_insitu",0.149332448586757,"MAB","Spring",-6.84235561726319,83
"155",2013,"Strat_summer_insitu",0.0498216607283799,"MAB","Spring",-6.84235561726319,138
"156",2014,"Strat_summer_insitu",0.00933507961761815,"MAB","Spring",-6.84235561726319,121
"157",2015,"Strat_summer_insitu",0.0116380824556319,"MAB","Spring",-6.84235561726319,97
"158",2016,"Strat_summer_insitu",-0.519658584638271,"MAB","Spring",-6.84235561726319,230
"159",2017,"Strat_summer_insitu",-0.23894063811524,"MAB","Spring",-6.84235561726319,130
"160",2018,"Strat_summer_insitu",0.14705448780548,"MAB","Spring",-6.84235561726319,144
"161",2019,"Strat_summer_insitu",0.171346061081684,"MAB","Spring",-6.84235561726319,94
"162",2020,"Strat_summer_insitu",-0.13409392831121,"MAB","Spring",-6.84235561726319,20
"163",2021,"Strat_summer_insitu",0.225687349625482,"MAB","Spring",-6.84235561726319,184
"164",2022,"Strat_summer_insitu",0.0259640523998948,"MAB","Spring",-6.84235561726319,77
"165",2023,"Strat_summer_insitu",0.213433929248909,"MAB","Spring",-6.84235561726319,25
"166",2024,"Strat_summer_insitu",-0.0440648129848805,"MAB","Spring",-6.84235561726319,24
"167",1975,"Strat_summer_insitu",-0.261002180303665,"NYB","Spring",-6.80716531684814,85
"168",1976,"Strat_summer_insitu",0.102792972138761,"NYB","Spring",-6.80716531684814,112
"169",1977,"Strat_summer_insitu",0.0331323669938642,"NYB","Spring",-6.80716531684814,124
"170",1978,"Strat_summer_insitu",0.0916087416949674,"NYB","Spring",-6.80716531684814,113
"171",1979,"Strat_summer_insitu",0.100663422721043,"NYB","Spring",-6.80716531684814,125
"172",1982,"Strat_summer_insitu",-0.24601910126988,"NYB","Spring",-6.80716531684814,10
"173",1984,"Strat_summer_insitu",0.300193142937508,"NYB","Spring",-6.80716531684814,6
"174",1985,"Strat_summer_insitu",0.0504304483083649,"NYB","Spring",-6.80716531684814,6
"175",1987,"Strat_summer_insitu",-0.376729117147142,"NYB","Spring",-6.80716531684814,166
"176",1988,"Strat_summer_insitu",0.0568617618811715,"NYB","Spring",-6.80716531684814,18
"177",1989,"Strat_summer_insitu",-0.208906538251012,"NYB","Spring",-6.80716531684814,83
"178",1991,"Strat_summer_insitu",0.207079755172369,"NYB","Spring",-6.80716531684814,10
"179",1992,"Strat_summer_insitu",-0.124927854446448,"NYB","Spring",-6.80716531684814,30
"180",1993,"Strat_summer_insitu",-0.0138245889048893,"NYB","Spring",-6.80716531684814,11
"181",1994,"Strat_summer_insitu",0.379200697589342,"NYB","Spring",-6.80716531684814,33
"182",1995,"Strat_summer_insitu",-0.0820900346884596,"NYB","Spring",-6.80716531684814,40
"183",1996,"Strat_summer_insitu",0.020395209391107,"NYB","Spring",-6.80716531684814,46
"184",1997,"Strat_summer_insitu",0.022892036246902,"NYB","Spring",-6.80716531684814,12
"185",1998,"Strat_summer_insitu",0.00946673452133384,"NYB","Spring",-6.80716531684814,31
"186",1999,"Strat_summer_insitu",0.391500069908048,"NYB","Spring",-6.80716531684814,4
"187",2000,"Strat_summer_insitu",0.00320950552197435,"NYB","Spring",-6.80716531684814,23
"188",2001,"Strat_summer_insitu",0.0139239003890352,"NYB","Spring",-6.80716531684814,31
"189",2002,"Strat_summer_insitu",-0.0439388037090151,"NYB","Spring",-6.80716531684814,20
"190",2003,"Strat_summer_insitu",-0.0630463994033202,"NYB","Spring",-6.80716531684814,3
"191",2004,"Strat_summer_insitu",0.242434326113183,"NYB","Spring",-6.80716531684814,19
"192",2005,"Strat_summer_insitu",-0.635505242122525,"NYB","Spring",-6.80716531684814,21
"193",2006,"Strat_summer_insitu",0.0174446776366004,"NYB","Spring",-6.80716531684814,22
"194",2007,"Strat_summer_insitu",0.193692312942692,"NYB","Spring",-6.80716531684814,22
"195",2008,"Strat_summer_insitu",0.109490283796817,"NYB","Spring",-6.80716531684814,77
"196",2009,"Strat_summer_insitu",0.0355448917074295,"NYB","Spring",-6.80716531684814,53
"197",2010,"Strat_summer_insitu",0.0327276719711025,"NYB","Spring",-6.80716531684814,54
"198",2011,"Strat_summer_insitu",0.109816962073214,"NYB","Spring",-6.80716531684814,70
"199",2012,"Strat_summer_insitu",0.0733984255861065,"NYB","Spring",-6.80716531684814,40
"200",2013,"Strat_summer_insitu",0.026770147056224,"NYB","Spring",-6.80716531684814,44
"201",2014,"Strat_summer_insitu",0.1084359068805,"NYB","Spring",-6.80716531684814,61
"202",2015,"Strat_summer_insitu",0.252521141362808,"NYB","Spring",-6.80716531684814,38
"203",2016,"Strat_summer_insitu",-0.455103383576497,"NYB","Spring",-6.80716531684814,89
"204",2017,"Strat_summer_insitu",-0.527529518875287,"NYB","Spring",-6.80716531684814,63
"205",2018,"Strat_summer_insitu",-0.10797597041134,"NYB","Spring",-6.80716531684814,44
"206",2019,"Strat_summer_insitu",0.318097286094336,"NYB","Spring",-6.80716531684814,41
"207",2020,"Strat_summer_insitu",-0.127879063929634,"NYB","Spring",-6.80716531684814,24
"208",2021,"Strat_summer_insitu",0.255369514273303,"NYB","Spring",-6.80716531684814,133
"209",2022,"Strat_summer_insitu",-0.30749696468302,"NYB","Spring",-6.80716531684814,30
"210",2023,"Strat_summer_insitu",0.174752817667146,"NYB","Spring",-6.80716531684814,45
"211",2024,"Strat_summer_insitu",-0.151872368855123,"NYB","Spring",-6.80716531684814,34
"212",1975,"Strat_summer_insitu",-0.396365172584736,"NES","Spring",-7.6124754826153,98
"213",1976,"Strat_summer_insitu",0.0177444360177925,"NES","Spring",-7.6124754826153,187
"214",1977,"Strat_summer_insitu",0.186642250492472,"NES","Spring",-7.6124754826153,194
"215",1978,"Strat_summer_insitu",0.0320730341352268,"NES","Spring",-7.6124754826153,323
"216",1979,"Strat_summer_insitu",0.065011706507662,"NES","Spring",-7.6124754826153,297
"217",1980,"Strat_summer_insitu",0.171220113249815,"NES","Spring",-7.6124754826153,14
"218",1981,"Strat_summer_insitu",-0.24391783107012,"NES","Spring",-7.6124754826153,42
"219",1982,"Strat_summer_insitu",-0.12252400801803,"NES","Spring",-7.6124754826153,206
"220",1983,"Strat_summer_insitu",-0.0121437771534604,"NES","Spring",-7.6124754826153,137
"221",1984,"Strat_summer_insitu",0.0638179131738728,"NES","Spring",-7.6124754826153,188
"222",1985,"Strat_summer_insitu",-0.106528206459056,"NES","Spring",-7.6124754826153,82
"223",1986,"Strat_summer_insitu",-0.334124089336462,"NES","Spring",-7.6124754826153,80
"224",1987,"Strat_summer_insitu",-0.146262517851309,"NES","Spring",-7.6124754826153,400
"225",1988,"Strat_summer_insitu",-0.215677411427087,"NES","Spring",-7.6124754826153,266
"226",1989,"Strat_summer_insitu",0.33566452052447,"NES","Spring",-7.6124754826153,548
"227",1990,"Strat_summer_insitu",-0.100680070206822,"NES","Spring",-7.6124754826153,200
"228",1991,"Strat_summer_insitu",0.141105756412602,"NES","Spring",-7.6124754826153,68
"229",1992,"Strat_summer_insitu",-0.112495750039212,"NES","Spring",-7.6124754826153,459
"230",1993,"Strat_summer_insitu",-0.0344016127741332,"NES","Spring",-7.6124754826153,458
"231",1994,"Strat_summer_insitu",-0.0673911794761385,"NES","Spring",-7.6124754826153,668
"232",1995,"Strat_summer_insitu",-0.0690938509182404,"NES","Spring",-7.6124754826153,763
"233",1996,"Strat_summer_insitu",-0.0159588350704958,"NES","Spring",-7.6124754826153,870
"234",1997,"Strat_summer_insitu",-0.119146056265946,"NES","Spring",-7.6124754826153,747
"235",1998,"Strat_summer_insitu",0.194882321938813,"NES","Spring",-7.6124754826153,991
"236",1999,"Strat_summer_insitu",0.11230730337743,"NES","Spring",-7.6124754826153,753
"237",2000,"Strat_summer_insitu",-0.0348845437750901,"NES","Spring",-7.6124754826153,346
"238",2001,"Strat_summer_insitu",0.066804619942065,"NES","Spring",-7.6124754826153,348
"239",2002,"Strat_summer_insitu",-0.0671116012200085,"NES","Spring",-7.6124754826153,312
"240",2003,"Strat_summer_insitu",-0.0857772366620363,"NES","Spring",-7.6124754826153,220
"241",2004,"Strat_summer_insitu",0.129307294766111,"NES","Spring",-7.6124754826153,442
"242",2005,"Strat_summer_insitu",-0.0265415183115011,"NES","Spring",-7.6124754826153,622
"243",2006,"Strat_summer_insitu",0.0695515325608767,"NES","Spring",-7.6124754826153,532
"244",2007,"Strat_summer_insitu",0.0817602780900802,"NES","Spring",-7.6124754826153,294
"245",2008,"Strat_summer_insitu",0.189348334645696,"NES","Spring",-7.6124754826153,413
"246",2009,"Strat_summer_insitu",0.0371907184364123,"NES","Spring",-7.6124754826153,490
"247",2010,"Strat_summer_insitu",0.203563705485431,"NES","Spring",-7.6124754826153,505
"248",2011,"Strat_summer_insitu",0.110387248979638,"NES","Spring",-7.6124754826153,505
"249",2012,"Strat_summer_insitu",0.127304342571931,"NES","Spring",-7.6124754826153,399
"250",2013,"Strat_summer_insitu",0.0399965193965112,"NES","Spring",-7.6124754826153,381
"251",2014,"Strat_summer_insitu",-0.128472642119438,"NES","Spring",-7.6124754826153,316
"252",2015,"Strat_summer_insitu",0.0453117882355147,"NES","Spring",-7.6124754826153,439
"253",2016,"Strat_summer_insitu",-0.318892196737394,"NES","Spring",-7.6124754826153,534
"254",2017,"Strat_summer_insitu",-0.0573229823548377,"NES","Spring",-7.6124754826153,417
"255",2018,"Strat_summer_insitu",0.0235299735483457,"NES","Spring",-7.6124754826153,414
"256",2019,"Strat_summer_insitu",0.08822954623093,"NES","Spring",-7.6124754826153,462
"257",2020,"Strat_summer_insitu",0.0196544651479479,"NES","Spring",-7.6124754826153,20
"258",2021,"Strat_summer_insitu",0.160350461910836,"NES","Spring",-7.6124754826153,434
"259",2022,"Strat_summer_insitu",-0.0141985205837337,"NES","Spring",-7.6124754826153,361
"260",2023,"Strat_summer_insitu",0.204905273665862,"NES","Spring",-7.6124754826153,25
"261",2024,"Strat_summer_insitu",-0.087753849029058,"NES","Spring",-7.6124754826153,57
"262",1975,"Strat_summer_insitu",-0.352446005613214,"MAB","Summer",-6.50535007119988,18
"263",1976,"Strat_summer_insitu",0.350965923220765,"MAB","Summer",-6.50535007119988,118
"264",1977,"Strat_summer_insitu",0.149472949113636,"MAB","Summer",-6.50535007119988,154
"265",1978,"Strat_summer_insitu",-0.118595277339204,"MAB","Summer",-6.50535007119988,185
"266",1979,"Strat_summer_insitu",-0.230239391884108,"MAB","Summer",-6.50535007119988,221
"267",1982,"Strat_summer_insitu",-0.484190298664946,"MAB","Summer",-6.50535007119988,4
"268",1984,"Strat_summer_insitu",0.0729753742301647,"MAB","Summer",-6.50535007119988,20
"269",1985,"Strat_summer_insitu",0.460277804632706,"MAB","Summer",-6.50535007119988,7
"270",1987,"Strat_summer_insitu",-0.0935682697277537,"MAB","Summer",-6.50535007119988,115
"271",1989,"Strat_summer_insitu",-0.267310212000109,"MAB","Summer",-6.50535007119988,61
"272",1990,"Strat_summer_insitu",0.0712882921491356,"MAB","Summer",-6.50535007119988,6
"273",1991,"Strat_summer_insitu",0.234755205984709,"MAB","Summer",-6.50535007119988,179
"274",1992,"Strat_summer_insitu",-0.050657372548443,"MAB","Summer",-6.50535007119988,136
"275",1993,"Strat_summer_insitu",0.416212574248341,"MAB","Summer",-6.50535007119988,215
"276",1994,"Strat_summer_insitu",0.0328138096207357,"MAB","Summer",-6.50535007119988,278
"277",1995,"Strat_summer_insitu",-0.682213266288873,"MAB","Summer",-6.50535007119988,121
"278",1996,"Strat_summer_insitu",0.182207224732777,"MAB","Summer",-6.50535007119988,489
"279",1997,"Strat_summer_insitu",-0.210899041070337,"MAB","Summer",-6.50535007119988,412
"280",1998,"Strat_summer_insitu",0.0883547923515819,"MAB","Summer",-6.50535007119988,143
"281",1999,"Strat_summer_insitu",-0.058101665733585,"MAB","Summer",-6.50535007119988,227
"282",2000,"Strat_summer_insitu",-0.0503974524168722,"MAB","Summer",-6.50535007119988,278
"283",2001,"Strat_summer_insitu",0.169289535263358,"MAB","Summer",-6.50535007119988,167
"284",2002,"Strat_summer_insitu",-0.0790586934717729,"MAB","Summer",-6.50535007119988,232
"285",2003,"Strat_summer_insitu",0.0992278701914386,"MAB","Summer",-6.50535007119988,132
"286",2004,"Strat_summer_insitu",-0.187763539779126,"MAB","Summer",-6.50535007119988,292
"287",2005,"Strat_summer_insitu",0.172200011699215,"MAB","Summer",-6.50535007119988,224
"288",2006,"Strat_summer_insitu",-0.247009872681591,"MAB","Summer",-6.50535007119988,266
"289",2007,"Strat_summer_insitu",-0.26767463047859,"MAB","Summer",-6.50535007119988,243
"290",2008,"Strat_summer_insitu",0.0460583057709449,"MAB","Summer",-6.50535007119988,246
"291",2009,"Strat_summer_insitu",-0.0942478099797711,"MAB","Summer",-6.50535007119988,213
"292",2010,"Strat_summer_insitu",0.0449474465240361,"MAB","Summer",-6.50535007119988,116
"293",2011,"Strat_summer_insitu",0.209230160097126,"MAB","Summer",-6.50535007119988,169
"294",2012,"Strat_summer_insitu",0.31359688848902,"MAB","Summer",-6.50535007119988,229
"295",2013,"Strat_summer_insitu",0.263191015092418,"MAB","Summer",-6.50535007119988,215
"296",2014,"Strat_summer_insitu",-0.408458337691701,"MAB","Summer",-6.50535007119988,128
"297",2015,"Strat_summer_insitu",0.20682170827501,"MAB","Summer",-6.50535007119988,149
"298",2016,"Strat_summer_insitu",-0.0739714026530748,"MAB","Summer",-6.50535007119988,198
"299",2018,"Strat_summer_insitu",0.0266219100689052,"MAB","Summer",-6.50535007119988,236
"300",2019,"Strat_summer_insitu",-0.0843782421106413,"MAB","Summer",-6.50535007119988,225
