# ---------------------------------- WARNING ----------------------------------------,,,,,,,,
# Some of the data that you have obtained from this U.S. Geological Survey database,,,,,,,,
# may not have received Director's approval. Any such data values are qualified,,,,,,,,
# as provisional and are subject to revision. Provisional data are released on the,,,,,,,,
# condition that neither the USGS nor the United States Government may be held liable,,,,,,,,
# for any damages resulting from its use.,,,,,,,,
#,,,,,,,,
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement,,,,,,,,
#,,,,,,,,
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output,,,,,,,,
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals,,,,,,,,
#,,,,,,,,
# Contact:   gs-w_waterdata_support@usgs.gov,,,,,,,,
# retrieved: 2022-09-29 12:40:46 EDT       (caww01),,,,,,,,
#,,,,,,,,
# Data for the following 1 site(s) are contained in this file,,,,,,,,
#    USGS 01310740 REYNOLDS CHANNEL AT POINT LOOKOUT NY,,,,,,,,
# -----------------------------------------------------------------------------------,,,,,,,,
#,,,,,,,,
# Data provided for site 01310740,,,,,,,,
#            TS   parameter     statistic     Description,,,,,,,,
"#        104823       90860     00001     Salinity, water, unfiltered, practical salinity units at 25 degrees Celsius (Maximum), monitor",,,,,,,,
"#        104824       90860     00002     Salinity, water, unfiltered, practical salinity units at 25 degrees Celsius (Minimum), monitor",,,,,,,,
"#        104825       90860     00003     Salinity, water, unfiltered, practical salinity units at 25 degrees Celsius (Mean), monitor",,,,,,,,
#,,,,,,,,
# Data-value qualification codes included in this output:,,,,,,,,
#        ,,,,,,,,
#     A  Approved for publication -- Processing and review completed.,,,,,,,,
#     P  Provisional data subject to revision.,,,,,,,,
#     4  Statistic computed from less than expected number of instantaneous values for the period,,,,,,,,
# ,,,,,,,,
agency_cd,site_no,datetime,104823_90860_00001,104823_90860_00001_cd,104824_90860_00002,104824_90860_00002_cd,104825_90860_00003,104825_90860_00003_cd
USGS,1310740,2/12/05,31.1,A,30,A,30.5,A
USGS,1310740,2/13/05,31.2,A,30,A,30.5,A
USGS,1310740,2/14/05,31.1,A,30.2,A,30.8,A
USGS,1310740,2/15/05,31,A,29.3,A,30.1,A
USGS,1310740,2/16/05,31,A,29.2,A,30.2,A
USGS,1310740,2/17/05,30.8,A,29,A,30,A
USGS,1310740,2/18/05,30.9,A,29.2,A,30,A
USGS,1310740,2/19/05,31.6,A,29.6,A,30.6,A
USGS,1310740,2/20/05,31.3,A,29.8,A,30.7,A
USGS,1310740,2/21/05,31.6,A,29.9,A,30.9,A
USGS,1310740,2/22/05,31,A,29.4,A,30.4,A
USGS,1310740,2/23/05,31,A,29.2,A,30.2,A
USGS,1310740,2/24/05,31,A,29.4,A,30.4,A
USGS,1310740,2/25/05,31,A,29.7,A,30.5,A
USGS,1310740,2/26/05,31.2,A,29.8,A,30.5,A
USGS,1310740,2/27/05,31,A,29.7,A,30.5,A
USGS,1310740,2/28/05,31.3,A,30,A,30.7,A
USGS,1310740,3/1/05,31.2,A,30.1,A,30.7,A
USGS,1310740,3/2/05,31.3,A,29.9,A,30.5,A
USGS,1310740,3/3/05,31,A,30,A,30.5,A
USGS,1310740,3/4/05,31,A,30.2,A,30.7,A
USGS,1310740,3/5/05,31.6,A,30,A,30.8,A
USGS,1310740,3/6/05,31.5,A,30.2,A,30.9,A
USGS,1310740,3/7/05,31.7,A,30.3,A,31.1,A
USGS,1310740,3/8/05,31.7,A,30.2,A,31,A
USGS,1310740,3/9/05,31.3,A,30.2,A,30.8,A
USGS,1310740,3/10/05,31.5,A,30.5,A,31,A
USGS,1310740,3/11/05,31.6,A,30.8,A,31.3,A
USGS,1310740,3/12/05,31.4,A,30.6,A,31.1,A
USGS,1310740,3/13/05,31.6,A,30.7,A,31.1,A
USGS,1310740,3/14/05,31.3,A,30.5,A,31.1,A
USGS,1310740,3/15/05,31.6,A,30.5,A,31,A
USGS,1310740,3/16/05,31.6,A,30.3,A,31,A
USGS,1310740,3/17/05,31.5,A,30.6,A,31.1,A
USGS,1310740,3/18/05,31.5,A,30.2,A,31.1,A
USGS,1310740,3/19/05,31.4,A,30.3,A,31,A
USGS,1310740,3/20/05,31.5,A,30.3,A,31,A
USGS,1310740,3/21/05,31.5,A,30,A,30.9,A
USGS,1310740,3/22/05,31.5,A,29.9,A,30.9,A
USGS,1310740,3/23/05,31.3,A,30,A,30.9,A
USGS,1310740,3/24/05,31.1,A,29.7,A,30.6,A
USGS,1310740,3/25/05,31.2,A,29.7,A,30.5,A
USGS,1310740,3/26/05,31.2,A,29.8,A,30.6,A
USGS,1310740,3/27/05,31.1,A,29.9,A,30.6,A
USGS,1310740,3/28/05,30.9,A,29.4,A,30.3,A
USGS,1310740,3/29/05,31,A,28.3,A,29.8,A
USGS,1310740,3/30/05,30.7,A,28.5,A,29.6,A
USGS,1310740,3/31/05,30.4,A,28.7,A,29.6,A
USGS,1310740,4/1/05,30.3,A,28.7,A,29.5,A
USGS,1310740,4/2/05,30,A,28.5,A,29.2,A
USGS,1310740,4/3/05,30,A,28.1,A,29,A
USGS,1310740,4/4/05,30,A,27.6,A,28.7,A
USGS,1310740,4/5/05,30.2,A,27.7,A,28.9,A
USGS,1310740,4/6/05,30.3,A,28,A,29.5,A
USGS,1310740,4/7/05,29.9,A,28.3,A,29.1,A
USGS,1310740,4/8/05,29.7,A,27.4,A,28.6,A
USGS,1310740,4/9/05,29.8,A,27.1,A,28.2,A
USGS,1310740,4/10/05,28.4,A,27,A,27.7,A
USGS,1310740,4/11/05,29,A,26.1,A,27.5,A
USGS,1310740,4/12/05,28.9,A,26.4,A,27.2,A
USGS,1310740,4/13/05,29.5,A,26.7,A,27.7,A
USGS,1310740,4/14/05,28.9,A,26.9,A,27.6,A
USGS,1310740,4/15/05,28.9,A,27.2,A,27.7,A
USGS,1310740,4/16/05,28.9,A,27.4,A,28,A
USGS,1310740,4/17/05,29.7,A,27.4,A,28.4,A
USGS,1310740,4/18/05,30,A,27.1,A,28.5,A
USGS,1310740,4/19/05,30.3,A,27.6,A,29,A
USGS,1310740,4/20/05,30.2,A,27.6,A,28.7,A
USGS,1310740,4/21/05,30.9,A,27.3,A,28.8,A
USGS,1310740,4/22/05,30.2,A,27.5,A,29.2,A
USGS,1310740,4/23/05,29.2,A,28,A,28.7,A
USGS,1310740,4/24/05,28.7,A,27.8,A,28.3,A
USGS,1310740,4/25/05,30,A,27.8,A,28.8,A
USGS,1310740,4/26/05,31.1,A,28.2,A,29.9,A
USGS,1310740,4/27/05,30.6,A,28.7,A,29.6,A
USGS,1310740,4/28/05,31.6,A,28.4,A,29.7,A
USGS,1310740,4/29/05,31.8,A,28.7,A,30.3,A
USGS,1310740,4/30/05,31.8,A,29.2,A,30.7,A
USGS,1310740,5/1/05,32,A,28.1,A,29.7,A
USGS,1310740,5/2/05,32.1,A,28.4,A,30.4,A
USGS,1310740,5/3/05,32.1,A,28.9,A,30.5,A
USGS,1310740,5/4/05,32.5,A,29.1,A,31.1,A
USGS,1310740,5/5/05,32.4,A,29.1,A,30.9,A
USGS,1310740,5/6/05,32.1,A,29.6,A,30.8,A
USGS,1310740,5/7/05,30.7,A,29.5,A,30.1,A
USGS,1310740,5/8/05,30.8,A,29.6,A,30.2,A
USGS,1310740,5/9/05,30.8,A,29.1,A,30.1,A
USGS,1310740,5/10/05,30.7,A,28.9,A,29.9,A
USGS,1310740,5/11/05,31,A,28.4,A,29.6,A
USGS,1310740,5/12/05,31.3,A,28.1,A,29.7,A
USGS,1310740,5/13/05,31.3,A,28.1,A,29.2,A
USGS,1310740,5/14/05,30.2,A,27.5,A,28.8,A
USGS,1310740,5/15/05,29.9,A,27.7,A,28.6,A
USGS,1310740,5/16/05,31,A,26.9,A,28.4,A
USGS,1310740,5/17/05,30.4,A,27.7,A,29.1,A
USGS,1310740,5/18/05,30.2,A,27.6,A,28.9,A
USGS,1310740,5/19/05,29.7,A,27,A,28.3,A
USGS,1310740,5/20/05,28.8,A,27.4,A,28.3,A
USGS,1310740,5/21/05,28.6,A,27.3,A,28.1,A
USGS,1310740,5/22/05,28.5,A,27.1,A,28,A
USGS,1310740,5/23/05,28.4,A,27.1,A,27.9,A
USGS,1310740,5/24/05,28.4,A,27.3,A,28,A
USGS,1310740,5/25/05,28.6,A,27.5,A,28.1,A
USGS,1310740,5/26/05,29.2,A,27.6,A,28.3,A
USGS,1310740,5/27/05,29.4,A,27.8,A,28.7,A
USGS,1310740,5/28/05,29.5,A,27.9,A,28.8,A
USGS,1310740,5/29/05,30,A,28.1,A,29.1,A
USGS,1310740,5/30/05,30.2,A,28.4,A,29.5,A
USGS,1310740,5/31/05,30.5,A,28.7,A,29.7,A
USGS,1310740,6/1/05,30.2,A,28.9,A,29.7,A
USGS,1310740,6/2/05,29.8,A,28.5,A,29.5,A
USGS,1310740,6/3/05,29.8,A,28.7,A,29.4,A
USGS,1310740,6/4/05,29.4,A,28.1,A,28.9,A
USGS,1310740,6/5/05,30.1,A,28.2,A,29.2,A
USGS,1310740,6/6/05,30.3,A,28.4,A,29.6,A
USGS,1310740,6/7/05,30.5,A,28.6,A,29.6,A
USGS,1310740,6/8/05,31.2,A,28.4,A,29.7,A
USGS,1310740,6/9/05,30.8,A,28.8,A,29.9,A
USGS,1310740,6/10/05,30.4,A,29,A,29.7,A
USGS,1310740,6/11/05,30.8,A,28.4,A,29.8,A
USGS,1310740,6/12/05,31.3,A,29,A,30,A
USGS,1310740,6/13/05,31.6,A,29.1,A,30.2,A
USGS,1310740,6/14/05,31.8,A,29.2,A,30.3,A
USGS,1310740,6/15/05,31.9,A,29.3,A,30.6,A
USGS,1310740,6/16/05,31.2,A,29.5,A,30.3,A
USGS,1310740,6/17/05,31.3,A,29.1,A,30,A
USGS,1310740,6/18/05,31.2,A,28.7,A,29.9,A
USGS,1310740,6/19/05,31.1,A,28.7,A,30.1,A
USGS,1310740,6/20/05,31.1,A,28.8,A,30.2,A
USGS,1310740,6/21/05,30.8,A,29.2,A,30.1,A
USGS,1310740,6/22/05,31,A,29.8,A,30.5,A
USGS,1310740,6/23/05,31,A,29.6,A,30.4,A
USGS,1310740,6/24/05,30.8,A,29.4,A,30.2,A
USGS,1310740,6/25/05,30.5,A,29.4,A,30,A
USGS,1310740,6/26/05,30.4,A,29.2,A,29.8,A
USGS,1310740,6/27/05,30.5,A,29.4,A,29.9,A
USGS,1310740,6/28/05,30.3,A,28.9,A,29.5,A
USGS,1310740,6/29/05,29.7,A,27.9,A,29,A
USGS,1310740,6/30/05,29.9,A,28.4,A,29.1,A
USGS,1310740,7/1/05,29.8,A,28.4,A,29.2,A
USGS,1310740,7/2/05,29.8,A,28.4,A,29.2,A
USGS,1310740,7/3/05,29.7,A,28.5,A,29.3,A
USGS,1310740,7/4/05,29.6,A,28.4,A,29.3,A
USGS,1310740,7/5/05,29.7,A,28.7,A,29.3,A
USGS,1310740,7/6/05,29.6,A,28.6,A,29.2,A
USGS,1310740,7/7/05,29.9,A,28.3,A,29.1,A
USGS,1310740,7/8/05,29.6,A,27.3,A,28.5,A
USGS,1310740,7/9/05,29.2,A,26.4,A,28.3,A
USGS,1310740,7/10/05,29.7,A,27.6,A,28.7,A
USGS,1310740,7/11/05,30,A,28,A,,
USGS,1310740,7/12/05,30.5,A,28.4,A,,
USGS,1310740,7/13/05,30,A,27.9,A,29.1,A
USGS,1310740,7/14/05,29.8,A,27.6,A,28.9,A
USGS,1310740,7/15/05,29.8,A,27.7,A,28.9,A
USGS,1310740,7/16/05,29.8,A,27.9,A,29,A
USGS,1310740,7/17/05,29.8,A,26.9,A,28.8,A
USGS,1310740,7/18/05,29.7,A,27.1,A,,
USGS,1310740,7/19/05,29.7,A,27.5,A,,
USGS,1310740,7/20/05,29.9,A,27.8,A,29.1,A
USGS,1310740,7/21/05,30,A,28.2,A,29.3,A
USGS,1310740,7/22/05,30.1,A,28.6,A,29.5,A
USGS,1310740,7/23/05,30.2,A,28.9,A,29.7,A
USGS,1310740,7/24/05,30.2,A,28.7,A,29.5,A
USGS,1310740,7/25/05,30.1,A,29,A,29.6,A
USGS,1310740,7/26/05,30.3,A,29.2,A,29.8,A
USGS,1310740,7/27/05,30.2,A,29.1,A,29.8,A
USGS,1310740,7/28/05,30.4,A,29.1,A,29.8,A
USGS,1310740,7/29/05,30.2,A,29.2,A,29.8,A
USGS,1310740,7/30/05,30.2,A,29.2,A,29.8,A
USGS,1310740,7/31/05,30.4,A,29.3,A,29.9,A
USGS,1310740,8/1/05,30.2,A,29.4,A,29.9,A
USGS,1310740,8/2/05,30.4,A,29.3,A,29.9,A
USGS,1310740,8/3/05,30.5,A,29.2,A,29.9,A
USGS,1310740,8/4/05,30.3,A,29.2,A,30,A
USGS,1310740,8/5/05,30.3,A,29.3,A,29.9,A
USGS,1310740,8/6/05,30.3,A,29.3,A,29.9,A
USGS,1310740,8/7/05,30,A,28.9,A,29.7,A
USGS,1310740,8/8/05,30.1,A,28.7,A,29.8,A
USGS,1310740,8/9/05,30.1,A,28.8,A,29.7,A
USGS,1310740,8/10/05,30.3,A,28.8,A,29.9,A
USGS,1310740,8/11/05,30.4,A,29.2,A,30,A
USGS,1310740,8/12/05,30.3,A,29.4,A,29.9,A
USGS,1310740,8/13/05,30.2,A,29.3,A,29.8,A
USGS,1310740,8/14/05,30.2,A,29.2,A,29.8,A
USGS,1310740,8/15/05,30.3,A,29.2,A,29.8,A
USGS,1310740,8/16/05,30.1,A,29.3,A,29.8,A
USGS,1310740,8/17/05,30.2,A,29.3,A,29.9,A
USGS,1310740,8/18/05,30.4,A,29.4,A,30,A
USGS,1310740,8/19/05,30.2,A,29.6,A,30,A
USGS,1310740,8/20/05,30,A,29.6,A,29.9,A
USGS,1310740,8/21/05,30,A,29.4,A,29.8,A
USGS,1310740,8/22/05,30.1,A,29.4,A,29.8,A
USGS,1310740,8/23/05,30.2,A,29.4,A,29.9,A
USGS,1310740,8/24/05,30,A,29.3,A,29.7,A
USGS,1310740,8/25/05,29.8,A,29.3,A,29.6,A
USGS,1310740,8/26/05,29.8,A,29.2,A,29.6,A
USGS,1310740,8/27/05,30,A,29.4,A,29.7,A
USGS,1310740,8/28/05,30,A,29.4,A,29.8,A
USGS,1310740,8/29/05,30,A,29.4,A,29.8,A
USGS,1310740,8/30/05,30,A,29.2,A,29.7,A
USGS,1310740,8/31/05,30,A,29.1,A,29.7,A
USGS,1310740,9/1/05,30.8,A,29.2,A,30,A
USGS,1310740,9/2/05,30.9,A,29.2,A,30.4,A
USGS,1310740,9/3/05,31,A,29.8,A,30.6,A
USGS,1310740,9/4/05,31,A,29.7,A,30.5,A
USGS,1310740,9/5/05,30.9,A,29.4,A,30.3,A
USGS,1310740,9/6/05,30.8,A,29.2,A,30.1,A
USGS,1310740,9/7/05,30.2,A,29.5,A,,
USGS,1310740,9/8/05,30,A,29.3,A,29.7,A
USGS,1310740,9/9/05,30.2,A,29.1,A,29.7,A
USGS,1310740,9/10/05,30.2,A,29.2,A,29.8,A
USGS,1310740,9/11/05,30.2,A,29.4,A,29.9,A
USGS,1310740,9/12/05,30.2,A,29.1,A,29.8,A
USGS,1310740,9/13/05,30.4,A,29.1,A,29.9,A
USGS,1310740,9/14/05,30.4,A,29.5,A,30,A
USGS,1310740,9/15/05,30.4,A,29.4,A,30.1,A
USGS,1310740,9/16/05,30.5,A,29.6,A,30,A
USGS,1310740,9/17/05,30.3,A,29.4,A,29.9,A
USGS,1310740,9/18/05,30.4,A,29.3,A,29.9,A
USGS,1310740,9/19/05,30.6,A,29.6,A,30.2,A
USGS,1310740,9/20/05,30.5,A,29.8,A,30.2,A
USGS,1310740,9/21/05,30.5,A,29.6,A,30.1,A
USGS,1310740,9/22/05,30.5,A,29.7,A,30.2,A
USGS,1310740,9/23/05,30.7,A,29.8,A,30.3,A
USGS,1310740,9/24/05,30.8,A,30,A,30.5,A
USGS,1310740,9/25/05,30.8,A,30.1,A,30.6,A
USGS,1310740,9/26/05,30.8,A,29.7,A,30.5,A
USGS,1310740,9/27/05,30.8,A,29.1,A,30.2,A
USGS,1310740,9/28/05,30.7,A,29.4,A,30.3,A
USGS,1310740,9/29/05,30.5,A,29.4,A,30.2,A
USGS,1310740,9/30/05,30.5,A,29.4,A,30.1,A
USGS,1310740,10/1/05,30.4,A,29.2,A,30.1,A
USGS,1310740,10/2/05,30.4,A,29.3,A,30.1,A
USGS,1310740,10/3/05,30.3,A,29.2,A,30,A
USGS,1310740,10/4/05,30.2,A,29.4,A,30,A
USGS,1310740,10/5/05,30.2,A,29.4,A,30,A
USGS,1310740,10/6/05,30.2,A,29.5,A,30,A
USGS,1310740,10/7/05,30.1,A,29.2,A,30,A
USGS,1310740,10/8/05,30.1,A,29.4,A,29.9,A
USGS,1310740,10/9/05,30,A,28.2,A,29.4,A
USGS,1310740,10/10/05,30,A,28.7,A,29.5,A
USGS,1310740,10/11/05,29.8,A,27.3,A,28.9,A
USGS,1310740,10/12/05,29.9,A,26.4,A,28.6,A
USGS,1310740,10/13/05,29.9,A,25.8,A,28.1,A
USGS,1310740,10/14/05,29.4,A,21.4,A,25.6,A
USGS,1310740,10/15/05,29.2,A,21.4,A,25.7,A
USGS,1310740,10/16/05,29.5,A,23.7,A,26.4,A
USGS,1310740,10/17/05,29.4,A,25.2,A,27.4,A
USGS,1310740,10/18/05,30.3,A,26.2,A,28.7,A
USGS,1310740,10/19/05,30.8,A,27.4,A,29.3,A
USGS,1310740,10/20/05,30.9,A,28,A,29.7,A
USGS,1310740,10/21/05,30.8,A,28.4,A,29.7,A
USGS,1310740,10/22/05,29.9,A,28.7,A,29.5,A
USGS,1310740,10/23/05,29.7,A,27.9,A,28.9,A
USGS,1310740,10/24/05,29.8,A,28.3,A,29.1,A
USGS,1310740,10/25/05,30,A,27.7,A,29.2,A
USGS,1310740,10/26/05,29.2,A,27,A,28,A
USGS,1310740,10/27/05,29.8,A,26.9,A,27.9,A
USGS,1310740,10/28/05,29.5,A,27.2,A,28.5,A
USGS,1310740,10/29/05,29.4,A,27.3,A,28.6,A
USGS,1310740,10/30/05,29.4,A,27.1,A,28.6,A
USGS,1310740,10/31/05,29.9,A,27.5,A,29,A
USGS,1310740,11/1/05,30.2,A,27.9,A,29.3,A
USGS,1310740,11/2/05,29.8,A,28.1,A,29.2,A
USGS,1310740,11/3/05,30.8,A,28.4,A,29.8,A
USGS,1310740,11/4/05,30.9,A,28.7,A,30,A
USGS,1310740,11/5/05,30.8,A,28.8,A,30.2,A
USGS,1310740,11/6/05,30.8,A,29.1,A,30.1,A
USGS,1310740,11/7/05,30.6,A,28.9,A,29.8,A
USGS,1310740,11/8/05,31.2,A,28.9,A,30.1,A
USGS,1310740,11/9/05,31.3,A,29.2,A,30.6,A
USGS,1310740,11/10/05,30.6,A,28.9,A,29.8,A
USGS,1310740,11/11/05,30.5,A,29,A,29.8,A
USGS,1310740,11/12/05,30.9,A,29.3,A,30.2,A
USGS,1310740,11/13/05,30.9,A,29.6,A,30.4,A
USGS,1310740,11/14/05,30.9,A,29.6,A,30.5,A
