# ---------------------------------- WARNING ----------------------------------------,,,,
# Some of the data that you have obtained from this U.S. Geological Survey database,,,,
# may not have received Director's approval. Any such data values are qualified,,,,
# as provisional and are subject to revision. Provisional data are released on the,,,,
# condition that neither the USGS nor the United States Government may be held liable,,,,
# for any damages resulting from its use.,,,,
#,,,,
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement,,,,
#,,,,
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output,,,,
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals,,,,
#,,,,
# Contact:   gs-w_waterdata_support@usgs.gov,,,,
# retrieved: 2022-09-29 16:20:21 EDT       (sdww01),,,,
#,,,,
# Data for the following 1 site(s) are contained in this file,,,,
#    USGS 01358000 HUDSON RIVER AT GREEN ISLAND NY,,,,
# -----------------------------------------------------------------------------------,,,,
#,,,,
# Data provided for site 01358000,,,,
#            TS   parameter     statistic     Description,,,,
"#        105057       00060     00003     Discharge, cubic feet per second (Mean)",,,,
#,,,,
# Data-value qualification codes included in this output:,,,,
#        ,,,,
#     A  Approved for publication -- Processing and review completed.,,,,
#     P  Provisional data subject to revision.,,,,
#     e  Value has been estimated.,,,,
# ,,,,
agency_cd,site_no,datetime,105057_00060_00003,105057_00060_00003_cd
USGS,1358000,1/31/93,10600,A:e
USGS,1358000,2/1/93,10600,A:e
USGS,1358000,2/2/93,9900,A:e
USGS,1358000,2/3/93,10500,A:e
USGS,1358000,2/4/93,11000,A:e
USGS,1358000,2/5/93,10700,A:e
USGS,1358000,2/6/93,10600,A:e
USGS,1358000,2/7/93,9700,A:e
USGS,1358000,2/8/93,9300,A:e
USGS,1358000,2/9/93,9900,A:e
USGS,1358000,2/10/93,10000,A:e
USGS,1358000,2/11/93,10000,A:e
USGS,1358000,2/12/93,9900,A:e
USGS,1358000,2/13/93,9800,A:e
USGS,1358000,2/14/93,9400,A:e
USGS,1358000,2/15/93,9700,A:e
USGS,1358000,2/16/93,10000,A:e
USGS,1358000,2/17/93,9900,A:e
USGS,1358000,2/18/93,9600,A:e
USGS,1358000,2/19/93,9600,A:e
USGS,1358000,2/20/93,9300,A:e
USGS,1358000,2/21/93,9200,A:e
USGS,1358000,2/22/93,8900,A:e
USGS,1358000,2/23/93,9100,A:e
USGS,1358000,2/24/93,9500,A:e
USGS,1358000,2/25/93,9300,A:e
USGS,1358000,2/26/93,9300,A:e
USGS,1358000,2/27/93,9200,A:e
USGS,1358000,2/28/93,9000,A:e
USGS,1358000,3/1/93,9100,A:e
USGS,1358000,3/2/93,9400,A:e
USGS,1358000,3/3/93,9600,A:e
USGS,1358000,3/4/93,9700,A:e
USGS,1358000,3/5/93,9700,A:e
USGS,1358000,3/6/93,9500,A:e
USGS,1358000,3/7/93,9500,A:e
USGS,1358000,3/8/93,7800,A:e
USGS,1358000,3/9/93,7000,A:e
USGS,1358000,3/10/93,7100,A:e
USGS,1358000,3/11/93,7100,A:e
USGS,1358000,3/12/93,7000,A:e
USGS,1358000,3/13/93,6400,A:e
USGS,1358000,3/14/93,6200,A:e
USGS,1358000,3/15/93,5900,A:e
USGS,1358000,3/16/93,6000,A:e
USGS,1358000,3/17/93,6800,A:e
USGS,1358000,3/18/93,7900,A:e
USGS,1358000,3/19/93,7900,A:e
USGS,1358000,3/20/93,7700,A:e
USGS,1358000,3/21/93,7900,A:e
USGS,1358000,3/22/93,7200,A:e
USGS,1358000,3/23/93,6800,A:e
USGS,1358000,3/24/93,7700,A:e
USGS,1358000,3/25/93,8200,A:e
USGS,1358000,3/26/93,11200,A:e
USGS,1358000,3/27/93,15300,A:e
USGS,1358000,3/28/93,21600,A:e
USGS,1358000,3/29/93,42000,A:e
USGS,1358000,3/30/93,108000,A
USGS,1358000,3/31/93,103000,A
USGS,1358000,4/1/93,91600,A
USGS,1358000,4/2/93,77900,A
USGS,1358000,4/3/93,64100,A
USGS,1358000,4/4/93,51000,A
USGS,1358000,4/5/93,40900,A
USGS,1358000,4/6/93,40400,A
USGS,1358000,4/7/93,41500,A
USGS,1358000,4/8/93,42600,A
USGS,1358000,4/9/93,43900,A
USGS,1358000,4/10/93,52100,A
USGS,1358000,4/11/93,81900,A
USGS,1358000,4/12/93,87300,A
USGS,1358000,4/13/93,69700,A
USGS,1358000,4/14/93,52400,A
USGS,1358000,4/15/93,43700,A
USGS,1358000,4/16/93,42800,A
USGS,1358000,4/17/93,70100,A
USGS,1358000,4/18/93,89700,A
USGS,1358000,4/19/93,68400,A
USGS,1358000,4/20/93,50300,A
USGS,1358000,4/21/93,41400,A
USGS,1358000,4/22/93,52200,A
USGS,1358000,4/23/93,98500,A
USGS,1358000,4/24/93,90600,A
USGS,1358000,4/25/93,73500,A
USGS,1358000,4/26/93,63500,A
USGS,1358000,4/27/93,74300,A
USGS,1358000,4/28/93,65600,A
USGS,1358000,4/29/93,53300,A
USGS,1358000,4/30/93,39300,A
USGS,1358000,5/1/93,32900,A
USGS,1358000,5/2/93,32100,A
USGS,1358000,5/3/93,28700,A
USGS,1358000,5/4/93,24300,A
USGS,1358000,5/5/93,20500,A:e
USGS,1358000,5/6/93,21300,A:e
USGS,1358000,5/7/93,20400,A:e
USGS,1358000,5/8/93,19600,A:e
USGS,1358000,5/9/93,18100,A:e
USGS,1358000,5/10/93,16900,A:e
USGS,1358000,5/11/93,13000,A:e
USGS,1358000,5/12/93,12900,A:e
USGS,1358000,5/13/93,12600,A:e
USGS,1358000,5/14/93,10700,A:e
USGS,1358000,5/15/93,9000,A:e
USGS,1358000,5/16/93,10000,A:e
USGS,1358000,5/17/93,9800,A:e
USGS,1358000,5/18/93,8900,A:e
USGS,1358000,5/19/93,8400,A:e
USGS,1358000,5/20/93,7200,A:e
USGS,1358000,5/21/93,7300,A:e
USGS,1358000,5/22/93,7300,A:e
USGS,1358000,5/23/93,7000,A:e
USGS,1358000,5/24/93,7500,A:e
USGS,1358000,5/25/93,5900,A:e
USGS,1358000,5/26/93,7200,A:e
USGS,1358000,5/27/93,6400,A:e
USGS,1358000,5/28/93,6200,A:e
USGS,1358000,5/29/93,6400,A:e
USGS,1358000,5/30/93,6100,A:e
USGS,1358000,5/31/93,6000,A:e
USGS,1358000,6/1/93,7400,A:e
USGS,1358000,6/2/93,8200,A:e
USGS,1358000,6/3/93,7900,A:e
USGS,1358000,6/4/93,7300,A:e
USGS,1358000,6/5/93,6700,A:e
USGS,1358000,6/6/93,6600,A:e
USGS,1358000,6/7/93,8500,A:e
USGS,1358000,6/8/93,7600,A:e
USGS,1358000,6/9/93,7000,A:e
USGS,1358000,6/10/93,7300,A:e
USGS,1358000,6/11/93,7400,A:e
USGS,1358000,6/12/93,8000,A:e
USGS,1358000,6/13/93,7500,A:e
USGS,1358000,6/14/93,6500,A:e
USGS,1358000,6/15/93,5700,A:e
USGS,1358000,6/16/93,6500,A:e
USGS,1358000,6/17/93,7000,A:e
USGS,1358000,6/18/93,6700,A:e
USGS,1358000,6/19/93,6300,A:e
USGS,1358000,6/20/93,6500,A:e
USGS,1358000,6/21/93,8800,A:e
USGS,1358000,6/22/93,10400,A:e
USGS,1358000,6/23/93,10400,A:e
USGS,1358000,6/24/93,7000,A:e
USGS,1358000,6/25/93,6800,A:e
USGS,1358000,6/26/93,5600,A:e
USGS,1358000,6/27/93,5900,A:e
USGS,1358000,6/28/93,5800,A:e
USGS,1358000,6/29/93,6200,A:e
USGS,1358000,6/30/93,5200,A:e
USGS,1358000,7/1/93,5400,A:e
USGS,1358000,7/2/93,4900,A:e
USGS,1358000,7/3/93,4900,A:e
USGS,1358000,7/4/93,4700,A:e
USGS,1358000,7/5/93,4700,A:e
USGS,1358000,7/6/93,4700,A:e
USGS,1358000,7/7/93,5100,A:e
USGS,1358000,7/8/93,4800,A:e
USGS,1358000,7/9/93,5700,A:e
USGS,1358000,7/10/93,5100,A:e
USGS,1358000,7/11/93,4500,A:e
USGS,1358000,7/12/93,5100,A:e
USGS,1358000,7/13/93,4700,A:e
USGS,1358000,7/14/93,4700,A:e
USGS,1358000,7/15/93,4400,A:e
USGS,1358000,7/16/93,4200,A:e
USGS,1358000,7/17/93,4300,A:e
USGS,1358000,7/18/93,3800,A:e
USGS,1358000,7/19/93,4500,A:e
USGS,1358000,7/20/93,4600,A:e
USGS,1358000,7/21/93,5100,A:e
USGS,1358000,7/22/93,4500,A:e
USGS,1358000,7/23/93,4400,A:e
USGS,1358000,7/24/93,4300,A:e
USGS,1358000,7/25/93,4200,A:e
USGS,1358000,7/26/93,4100,A:e
USGS,1358000,7/27/93,5700,A:e
USGS,1358000,7/28/93,5100,A:e
USGS,1358000,7/29/93,4100,A:e
USGS,1358000,7/30/93,4500,A:e
USGS,1358000,7/31/93,5100,A:e
USGS,1358000,8/1/93,5300,A:e
USGS,1358000,8/2/93,5000,A:e
USGS,1358000,8/3/93,4700,A:e
USGS,1358000,8/4/93,4300,A:e
USGS,1358000,8/5/93,5100,A:e
USGS,1358000,8/6/93,4900,A:e
USGS,1358000,8/7/93,4700,A:e
USGS,1358000,8/8/93,4700,A:e
USGS,1358000,8/9/93,4800,A:e
USGS,1358000,8/10/93,4600,A:e
USGS,1358000,8/11/93,4400,A:e
USGS,1358000,8/12/93,4500,A:e
USGS,1358000,8/13/93,4300,A:e
USGS,1358000,8/14/93,4500,A:e
USGS,1358000,8/15/93,5100,A:e
USGS,1358000,8/16/93,5500,A:e
USGS,1358000,8/17/93,5400,A:e
USGS,1358000,8/18/93,5500,A:e
USGS,1358000,8/19/93,5200,A:e
USGS,1358000,8/20/93,4500,A:e
USGS,1358000,8/21/93,4800,A:e
USGS,1358000,8/22/93,5400,A:e
USGS,1358000,8/23/93,5200,A:e
USGS,1358000,8/24/93,4700,A:e
USGS,1358000,8/25/93,6100,A:e
USGS,1358000,8/26/93,6300,A:e
USGS,1358000,8/27/93,5100,A:e
USGS,1358000,8/28/93,5000,A:e
USGS,1358000,8/29/93,4500,A:e
USGS,1358000,8/30/93,4700,A:e
USGS,1358000,8/31/93,4200,A:e
USGS,1358000,9/1/93,5200,A:e
USGS,1358000,9/2/93,6800,A:e
USGS,1358000,9/3/93,5900,A:e
USGS,1358000,9/4/93,6200,A:e
USGS,1358000,9/5/93,6800,A:e
USGS,1358000,9/6/93,6300,A:e
USGS,1358000,9/7/93,4500,A:e
USGS,1358000,9/8/93,5200,A:e
USGS,1358000,9/9/93,5000,A:e
USGS,1358000,9/10/93,4900,A:e
USGS,1358000,9/11/93,4900,A:e
USGS,1358000,9/12/93,5400,A:e
USGS,1358000,9/13/93,5800,A:e
USGS,1358000,9/14/93,5400,A:e
USGS,1358000,9/15/93,5100,A:e
USGS,1358000,9/16/93,5500,A:e
USGS,1358000,9/17/93,5200,A:e
USGS,1358000,9/18/93,5100,A:e
USGS,1358000,9/19/93,4800,A:e
USGS,1358000,9/20/93,5100,A:e
USGS,1358000,9/21/93,5000,A:e
USGS,1358000,9/22/93,5000,A:e
USGS,1358000,9/23/93,4400,A:e
USGS,1358000,9/24/93,4300,A:e
USGS,1358000,9/25/93,4700,A:e
USGS,1358000,9/26/93,4900,A:e
USGS,1358000,9/27/93,6000,A:e
USGS,1358000,9/28/93,9700,A:e
USGS,1358000,9/29/93,7500,A:e
USGS,1358000,9/30/93,6600,A:e
USGS,1358000,10/1/93,5500,A:e
USGS,1358000,10/2/93,5800,A:e
USGS,1358000,10/3/93,5600,A:e
USGS,1358000,10/4/93,6400,A:e
USGS,1358000,10/5/93,6400,A:e
USGS,1358000,10/6/93,7400,A:e
USGS,1358000,10/7/93,6400,A:e
USGS,1358000,10/8/93,6000,A:e
USGS,1358000,10/9/93,5600,A:e
USGS,1358000,10/10/93,5600,A:e
USGS,1358000,10/11/93,5000,A:e
USGS,1358000,10/12/93,5600,A:e
USGS,1358000,10/13/93,5200,A:e
USGS,1358000,10/14/93,6700,A:e
USGS,1358000,10/15/93,6000,A:e
USGS,1358000,10/16/93,5300,A:e
USGS,1358000,10/17/93,5700,A:e
USGS,1358000,10/18/93,8400,A:e
USGS,1358000,10/19/93,8400,A:e
USGS,1358000,10/20/93,7600,A:e
USGS,1358000,10/21/93,7300,A:e
USGS,1358000,10/22/93,11900,A:e
USGS,1358000,10/23/93,11700,A:e
USGS,1358000,10/24/93,8300,A:e
USGS,1358000,10/25/93,7800,A:e
USGS,1358000,10/26/93,6900,A:e
USGS,1358000,10/27/93,5800,A:e
USGS,1358000,10/28/93,6600,A:e
USGS,1358000,10/29/93,6400,A:e
USGS,1358000,10/30/93,6200,A:e
USGS,1358000,10/31/93,6900,A:e
USGS,1358000,11/1/93,8600,A:e
USGS,1358000,11/2/93,9900,A:e
USGS,1358000,11/3/93,8900,A:e
USGS,1358000,11/4/93,8800,A:e
USGS,1358000,11/5/93,9900,A:e
USGS,1358000,11/6/93,16500,A:e
USGS,1358000,11/7/93,15400,A:e
USGS,1358000,11/8/93,12400,A:e
USGS,1358000,11/9/93,9800,A:e
USGS,1358000,11/10/93,9700,A:e
USGS,1358000,11/11/93,8600,A:e
USGS,1358000,11/12/93,8300,A:e
USGS,1358000,11/13/93,7900,A:e
USGS,1358000,11/14/93,8100,A:e
USGS,1358000,11/15/93,9000,A:e
USGS,1358000,11/16/93,9600,A:e
USGS,1358000,11/17/93,9200,A:e
USGS,1358000,11/18/93,25100,A:e
USGS,1358000,11/19/93,19500,A:e
USGS,1358000,11/20/93,14100,A:e
USGS,1358000,11/21/93,10600,A:e
USGS,1358000,11/22/93,11200,A:e
USGS,1358000,11/23/93,9100,A:e
USGS,1358000,11/24/93,9900,A:e
USGS,1358000,11/25/93,8700,A:e
USGS,1358000,11/26/93,7100,A:e
USGS,1358000,11/27/93,7300,A:e
USGS,1358000,11/28/93,15400,A:e
USGS,1358000,11/29/93,29800,A:e
USGS,1358000,11/30/93,24900,A:e
USGS,1358000,12/1/93,22000,A:e
USGS,1358000,12/2/93,17400,A:e
USGS,1358000,12/3/93,16900,A:e
USGS,1358000,12/4/93,16900,A:e
USGS,1358000,12/5/93,23500,A:e
USGS,1358000,12/6/93,29000,A:e
USGS,1358000,12/7/93,23000,A:e
USGS,1358000,12/8/93,18400,A:e
USGS,1358000,12/9/93,16200,A:e
USGS,1358000,12/10/93,13800,A:e
USGS,1358000,12/11/93,15400,A:e
USGS,1358000,12/12/93,18600,A:e
USGS,1358000,12/13/93,15800,A:e
USGS,1358000,12/14/93,13700,A:e
USGS,1358000,12/15/93,12500,A:e
USGS,1358000,12/16/93,12300,A:e
USGS,1358000,12/17/93,12100,A:e
USGS,1358000,12/18/93,10600,A:e
USGS,1358000,12/19/93,9700,A:e
USGS,1358000,12/20/93,10100,A:e
USGS,1358000,12/21/93,11600,A:e
USGS,1358000,12/22/93,16600,A:e
USGS,1358000,12/23/93,14900,A:e
USGS,1358000,12/24/93,11500,A:e
USGS,1358000,12/25/93,9600,A:e
USGS,1358000,12/26/93,8600,A:e
USGS,1358000,12/27/93,7700,A:e
USGS,1358000,12/28/93,7600,A:e
USGS,1358000,12/29/93,8500,A:e
USGS,1358000,12/30/93,8300,A:e
USGS,1358000,12/31/93,8400,A:e
USGS,1358000,1/1/94,8600,A:e
USGS,1358000,1/2/94,8600,A:e
USGS,1358000,1/3/94,9000,A:e
USGS,1358000,1/4/94,8500,A:e
USGS,1358000,1/5/94,7900,A:e
USGS,1358000,1/6/94,8200,A:e
USGS,1358000,1/7/94,8100,A:e
USGS,1358000,1/8/94,7700,A:e
USGS,1358000,1/9/94,7800,A:e
USGS,1358000,1/10/94,7600,A:e
USGS,1358000,1/11/94,7400,A:e
USGS,1358000,1/12/94,7400,A:e
USGS,1358000,1/13/94,7800,A:e
USGS,1358000,1/14/94,8100,A:e
USGS,1358000,1/15/94,7700,A:e
USGS,1358000,1/16/94,7400,A:e
USGS,1358000,1/17/94,7400,A:e
USGS,1358000,1/18/94,7400,A:e
USGS,1358000,1/19/94,7100,A:e
USGS,1358000,1/20/94,7300,A:e
USGS,1358000,1/21/94,8500,A:e
USGS,1358000,1/22/94,8500,A:e
USGS,1358000,1/23/94,7500,A:e
USGS,1358000,1/24/94,7100,A:e
USGS,1358000,1/25/94,6600,A:e
USGS,1358000,1/26/94,6700,A:e
USGS,1358000,1/27/94,7600,A:e
USGS,1358000,1/28/94,8700,A:e
USGS,1358000,1/29/94,9300,A:e
USGS,1358000,1/30/94,13200,A:e
USGS,1358000,1/31/94,13300,A:e
USGS,1358000,2/1/94,14200,A:e
USGS,1358000,2/2/94,12000,A:e
USGS,1358000,2/3/94,11100,A:e
USGS,1358000,2/4/94,9900,A:e
USGS,1358000,2/5/94,9400,A:e
USGS,1358000,2/6/94,9100,A:e
USGS,1358000,2/7/94,9300,A:e
USGS,1358000,2/8/94,10500,A:e
USGS,1358000,2/9/94,11000,A:e
USGS,1358000,2/10/94,10100,A:e
USGS,1358000,2/11/94,10000,A:e
USGS,1358000,2/12/94,9800,A:e
USGS,1358000,2/13/94,9800,A:e
USGS,1358000,2/14/94,9900,A:e
USGS,1358000,2/15/94,9700,A:e
USGS,1358000,2/16/94,9500,A:e
USGS,1358000,2/17/94,9600,A:e
USGS,1358000,2/18/94,9400,A:e
USGS,1358000,2/19/94,9700,A:e
USGS,1358000,2/20/94,10300,A:e
USGS,1358000,2/21/94,12900,A:e
USGS,1358000,2/22/94,19100,A:e
USGS,1358000,2/23/94,21500,A:e
USGS,1358000,2/24/94,19400,A:e
USGS,1358000,2/25/94,16200,A:e
USGS,1358000,2/26/94,14700,A:e
USGS,1358000,2/27/94,13600,A:e
USGS,1358000,2/28/94,12000,A:e
USGS,1358000,3/1/94,10900,A:e
USGS,1358000,3/2/94,10100,A:e
USGS,1358000,3/3/94,9700,A:e
USGS,1358000,3/4/94,9600,A:e
USGS,1358000,3/5/94,9900,A:e
USGS,1358000,3/6/94,10800,A:e
USGS,1358000,3/7/94,10900,A:e
USGS,1358000,3/8/94,11100,A:e
USGS,1358000,3/9/94,13400,A:e
USGS,1358000,3/10/94,18400,A:e
USGS,1358000,3/11/94,23300,A:e
USGS,1358000,3/12/94,23100,A:e
USGS,1358000,3/13/94,19300,A:e
USGS,1358000,3/14/94,17500,A:e
USGS,1358000,3/15/94,17100,A:e
USGS,1358000,3/16/94,17700,A:e
USGS,1358000,3/17/94,18000,A:e
USGS,1358000,3/18/94,16900,A:e
USGS,1358000,3/19/94,15700,A:e
USGS,1358000,3/20/94,14900,A:e
USGS,1358000,3/21/94,14300,A:e
USGS,1358000,3/22/94,15400,A:e
USGS,1358000,3/23/94,19500,A:e
USGS,1358000,3/24/94,27100,A:e
USGS,1358000,3/25/94,36200,A:e
USGS,1358000,3/26/94,34500,A:e
USGS,1358000,3/27/94,34000,A:e
USGS,1358000,3/28/94,36400,A:e
USGS,1358000,3/29/94,37600,A:e
USGS,1358000,3/30/94,32500,A:e
USGS,1358000,3/31/94,29700,A:e
USGS,1358000,4/1/94,30100,A:e
USGS,1358000,4/2/94,33800,A:e
USGS,1358000,4/3/94,35800,A:e
USGS,1358000,4/4/94,46500,A:e
USGS,1358000,4/5/94,42300,A:e
USGS,1358000,4/6/94,42400,A:e
USGS,1358000,4/7/94,61000,A:e
USGS,1358000,4/8/94,60200,A:e
USGS,1358000,4/9/94,46800,A:e
USGS,1358000,4/10/94,44700,A:e
USGS,1358000,4/11/94,52300,A:e
USGS,1358000,4/12/94,48800,A:e
USGS,1358000,4/13/94,51500,A:e
USGS,1358000,4/14/94,84400,A
USGS,1358000,4/15/94,76700,A
USGS,1358000,4/16/94,73500,A
USGS,1358000,4/17/94,94800,A
USGS,1358000,4/18/94,77200,A
USGS,1358000,4/19/94,63700,A
USGS,1358000,4/20/94,55700,A
USGS,1358000,4/21/94,49700,A
USGS,1358000,4/22/94,41100,A
USGS,1358000,4/23/94,34500,A
USGS,1358000,4/24/94,28900,A
USGS,1358000,4/25/94,28900,A
USGS,1358000,4/26/94,29900,A
USGS,1358000,4/27/94,41300,A
USGS,1358000,4/28/94,47200,A
USGS,1358000,4/29/94,41000,A
USGS,1358000,4/30/94,37000,A
USGS,1358000,5/1/94,33800,A
USGS,1358000,5/2/94,41900,A
USGS,1358000,5/3/94,36700,A
USGS,1358000,5/4/94,30700,A
USGS,1358000,5/5/94,27900,A
USGS,1358000,5/6/94,23300,A
USGS,1358000,5/7/94,22800,A
USGS,1358000,5/8/94,22900,A
USGS,1358000,5/9/94,28000,A
USGS,1358000,5/10/94,24200,A
USGS,1358000,5/11/94,21100,A
USGS,1358000,5/12/94,19100,A
USGS,1358000,5/13/94,20000,A:e
USGS,1358000,5/14/94,17900,A:e
USGS,1358000,5/15/94,17100,A:e
USGS,1358000,5/16/94,19600,A:e
USGS,1358000,5/17/94,23700,A:e
USGS,1358000,5/18/94,23700,A:e
USGS,1358000,5/19/94,20700,A:e
USGS,1358000,5/20/94,18500,A:e
USGS,1358000,5/21/94,16600,A:e
USGS,1358000,5/22/94,15300,A:e
USGS,1358000,5/23/94,13700,A:e
USGS,1358000,5/24/94,12200,A:e
USGS,1358000,5/25/94,11100,A:e
USGS,1358000,5/26/94,9000,A:e
USGS,1358000,5/27/94,9600,A:e
USGS,1358000,5/28/94,11800,A:e
USGS,1358000,5/29/94,11600,A:e
USGS,1358000,5/30/94,10300,A:e
USGS,1358000,5/31/94,9300,A:e
USGS,1358000,6/1/94,9400,A:e
USGS,1358000,6/2/94,10000,A:e
USGS,1358000,6/3/94,9100,A:e
USGS,1358000,6/4/94,9100,A:e
USGS,1358000,6/5/94,8100,A:e
USGS,1358000,6/6/94,7700,A:e
USGS,1358000,6/7/94,7200,A:e
USGS,1358000,6/8/94,7700,A:e
USGS,1358000,6/9/94,7100,A:e
USGS,1358000,6/10/94,6800,A:e
USGS,1358000,6/11/94,6600,A:e
USGS,1358000,6/12/94,6300,A:e
USGS,1358000,6/13/94,7500,A:e
USGS,1358000,6/14/94,9200,A:e
USGS,1358000,6/15/94,11400,A:e
USGS,1358000,6/16/94,8700,A:e
USGS,1358000,6/17/94,6700,A:e
USGS,1358000,6/18/94,7000,A:e
USGS,1358000,6/19/94,5900,A:e
USGS,1358000,6/20/94,6100,A:e
USGS,1358000,6/21/94,5700,A:e
USGS,1358000,6/22/94,5600,A:e
USGS,1358000,6/23/94,5900,A:e
USGS,1358000,6/24/94,6000,A:e
USGS,1358000,6/25/94,5600,A:e
USGS,1358000,6/26/94,6600,A:e
USGS,1358000,6/27/94,6600,A:e
USGS,1358000,6/28/94,11500,A:e
USGS,1358000,6/29/94,14100,A:e
USGS,1358000,6/30/94,21500,A:e
USGS,1358000,7/1/94,22800,A:e
USGS,1358000,7/2/94,18400,A:e
USGS,1358000,7/3/94,14500,A:e
USGS,1358000,7/4/94,10600,A:e
USGS,1358000,7/5/94,9600,A:e
USGS,1358000,7/6/94,8000,A:e
USGS,1358000,7/7/94,8100,A:e
USGS,1358000,7/8/94,10500,A:e
USGS,1358000,7/9/94,8900,A:e
USGS,1358000,7/10/94,8500,A:e
USGS,1358000,7/11/94,9500,A:e
USGS,1358000,7/12/94,6800,A:e
USGS,1358000,7/13/94,6300,A:e
USGS,1358000,7/14/94,5400,A:e
USGS,1358000,7/15/94,6000,A:e
USGS,1358000,7/16/94,6100,A:e
USGS,1358000,7/17/94,6400,A:e
USGS,1358000,7/18/94,6000,A:e
USGS,1358000,7/19/94,6900,A:e
USGS,1358000,7/20/94,5800,A:e
USGS,1358000,7/21/94,6500,A:e
USGS,1358000,7/22/94,6200,A:e
USGS,1358000,7/23/94,6900,A:e
USGS,1358000,7/24/94,8300,A:e
USGS,1358000,7/25/94,7000,A:e
USGS,1358000,7/26/94,8000,A:e
USGS,1358000,7/27/94,9000,A:e
USGS,1358000,7/28/94,8500,A:e
USGS,1358000,7/29/94,9600,A:e
USGS,1358000,7/30/94,8100,A:e
USGS,1358000,7/31/94,8900,A:e
USGS,1358000,8/1/94,9200,A:e
USGS,1358000,8/2/94,8900,A:e
USGS,1358000,8/3/94,8300,A:e
USGS,1358000,8/4/94,7400,A:e
USGS,1358000,8/5/94,6400,A:e
USGS,1358000,8/6/94,6900,A:e
USGS,1358000,8/7/94,6100,A:e
USGS,1358000,8/8/94,6600,A:e
USGS,1358000,8/9/94,6700,A:e
USGS,1358000,8/10/94,6200,A:e
USGS,1358000,8/11/94,5000,A:e
USGS,1358000,8/12/94,5000,A:e
USGS,1358000,8/13/94,5400,A:e
USGS,1358000,8/14/94,5700,A:e
USGS,1358000,8/15/94,7000,A:e
USGS,1358000,8/16/94,6400,A:e
USGS,1358000,8/17/94,7100,A:e
USGS,1358000,8/18/94,15100,A:e
USGS,1358000,8/19/94,21500,A:e
USGS,1358000,8/20/94,15300,A:e
USGS,1358000,8/21/94,11900,A:e
USGS,1358000,8/22/94,16700,A:e
USGS,1358000,8/23/94,14700,A:e
USGS,1358000,8/24/94,12100,A:e
USGS,1358000,8/25/94,10500,A:e
USGS,1358000,8/26/94,9700,A:e
USGS,1358000,8/27/94,10100,A:e
USGS,1358000,8/28/94,9900,A:e
USGS,1358000,8/29/94,10200,A:e
USGS,1358000,8/30/94,9100,A:e
USGS,1358000,8/31/94,9100,A:e
USGS,1358000,9/1/94,8400,A:e
