Year,Year_Season,Season,DO,transect,T,Quarterly
2019,2019.3,Summer,7.0041,6.6,6,2019.5
2019,2019.3,Summer,6.5688,7.6,7,2019.5
2019,2019.4,Fall,7.3083,1.15,1,2019.75
2019,2019.4,Fall,5.1999,1.2,1,2019.75
2019,2019.4,Fall,4.9734,1.3,1,2019.75
2019,2019.4,Fall,5.0454,1.4,1,2019.75
2019,2019.4,Fall,6.6558,1.5,1,2019.75
2019,2019.4,Fall,6.6995,2.5,2,2019.75
2019,2019.4,Fall,5.3001,2.4,2,2019.75
2019,2019.4,Fall,6.3432,2.3,2,2019.75
2019,2019.4,Fall,5.4942,2.2,2,2019.75
2019,2019.4,Fall,7.2936,2.1,2,2019.75
2020,2020.1,Winter,8.8753,7.1,7,2020
2020,2020.1,Winter,9.3286,7.2,7,2020
2020,2020.1,Winter,9.4515,7.3,7,2020
2020,2020.1,Winter,9.2605,7.4,7,2020
2020,2020.1,Winter,8.7423,7.5,7,2020
2020,2020.1,Winter,4.6798,7.6,7,2020
2020,2020.1,Winter,4.6803,6.6,6,2020
2020,2020.1,Winter,7.2622,6.5,6,2020
2020,2020.1,Winter,9.4791,6.4,6,2020
2020,2020.1,Winter,9.4074,6.3,6,2020
2020,2020.1,Winter,9.7513,6.2,6,2020
2020,2020.1,Winter,10.345,6.1,6,2020
2020,2020.4,Fall,7.5522,7.1,7,2020.75
2020,2020.4,Fall,5.862,7.2,7,2020.75
2020,2020.4,Fall,4.6672,7.3,7,2020.75
2020,2020.4,Fall,6.2792,7.4,7,2020.75
2020,2020.4,Fall,5.6012,7.5,7,2020.75
2020,2020.4,Fall,4.5492,7.6,7,2020.75
2020,2020.4,Fall,4.253,6.6,6,2020.75
2020,2020.4,Fall,5.6478,6.5,6,2020.75
2020,2020.4,Fall,5.8002,6.4,6,2020.75
2020,2020.4,Fall,4.8087,6.3,6,2020.75
2020,2020.4,Fall,5.6957,6.2,6,2020.75
2020,2020.4,Fall,7.5025,6.1,6,2020.75
2020,2020.4,Fall,7.1439,5.1,5,2020.75
2020,2020.4,Fall,5.1539,5.2,5,2020.75
2020,2020.4,Fall,4.6917,5.3,5,2020.75
2020,2020.4,Fall,5.5026,5.4,5,2020.75
2020,2020.4,Fall,5.2849,5.5,5,2020.75
2020,2020.4,Fall,4.235,5.6,5,2020.75
2020,2020.4,Fall,6.9761,4.1,4,2020.75
2020,2020.4,Fall,7.0843,4.2,4,2020.75
2020,2020.4,Fall,4.7807,4.3,4,2020.75
2020,2020.4,Fall,6.1497,4.4,4,2020.75
2020,2020.4,Fall,4.4299,4.5,4,2020.75
2020,2020.4,Fall,4.4133,4.6,4,2020.75
2020,2020.4,Fall,4.2174,3.5,3,2020.75
2020,2020.4,Fall,5.4405,3.4,3,2020.75
2020,2020.4,Fall,4.9311,3.3,3,2020.75
2020,2020.4,Fall,6.8776,3.2,3,2020.75
2020,2020.4,Fall,7.1315,3.1,3,2020.75
2020,2020.4,Fall,7.1873,2.1,2,2020.75
2020,2020.4,Fall,4.321,2.2,2,2020.75
2020,2020.4,Fall,6.129,2.3,2,2020.75
2020,2020.4,Fall,5.7105,2.4,2,2020.75
2020,2020.4,Fall,4.2522,2.5,2,2020.75
2020,2020.4,Fall,4.273,1.5,1,2020.75
2020,2020.4,Fall,5.7666,1.4,1,2020.75
2020,2020.4,Fall,5.3852,1.3,1,2020.75
2020,2020.4,Fall,6.3136,1.2,1,2020.75
2020,2020.4,Fall,7.3328,1.1,1,2020.75
2021,2021.1,Winter,9.615,7.1,7,2021
2021,2021.1,Winter,9.6369,7.2,7,2021
2021,2021.1,Winter,9.5802,7.3,7,2021
2021,2021.1,Winter,9.1569,7.4,7,2021
2021,2021.1,Winter,8.6524,7.5,7,2021
2021,2021.1,Winter,4.2291,7.6,7,2021
2021,2021.1,Winter,4.2559,6.6,6,2021
2021,2021.1,Winter,8.7704,6.5,6,2021
2021,2021.1,Winter,9.2066,6.4,6,2021
2021,2021.1,Winter,9.2689,6.3,6,2021
2021,2021.1,Winter,9.8216,6.2,6,2021
2021,2021.1,Winter,9.9363,6.1,6,2021
2021,2021.1,Winter,10.1112,5.1,5,2021
2021,2021.1,Winter,9.7814,5.2,5,2021
2021,2021.1,Winter,9.4103,5.3,5,2021
2021,2021.1,Winter,8.9378,5.4,5,2021
2021,2021.1,Winter,7.0923,5.5,5,2021
2021,2021.1,Winter,4.158,5.6,5,2021
2021,2021.1,Winter,4.339,4.6,4,2021
2021,2021.1,Winter,4.6418,4.5,4,2021
2021,2021.1,Winter,6.5961,4.4,4,2021
2021,2021.1,Winter,9.4889,4.3,4,2021
2021,2021.1,Winter,9.9747,4.1,4,2021
2021,2021.1,Winter,9.7885,4.2,4,2021
2021,2021.2,Spring,7.3306,7.1,7,2021.25
2021,2021.2,Spring,7.2997,7.2,7,2021.25
2021,2021.2,Spring,8.3889,7.3,7,2021.25
2021,2021.2,Spring,7.9976,7.4,7,2021.25
2021,2021.2,Spring,6.4149,7.5,7,2021.25
2021,2021.2,Spring,4.2981,7.6,7,2021.25
2021,2021.2,Spring,4.1397,6.6,6,2021.25
2021,2021.2,Spring,6.8465,6.5,6,2021.25
2021,2021.2,Spring,7.3144,6.4,6,2021.25
2021,2021.2,Spring,8.0191,6.3,6,2021.25
2021,2021.2,Spring,7.8199,6.2,6,2021.25
2021,2021.2,Spring,7.4633,6.1,6,2021.25
2021,2021.2,Spring,7.7824,5.1,5,2021.25
2021,2021.2,Spring,7.6944,5.2,5,2021.25
2021,2021.2,Spring,7.6629,5.3,5,2021.25
2021,2021.2,Spring,6.4908,5.4,5,2021.25
2021,2021.2,Spring,6.0655,5.5,5,2021.25
2021,2021.2,Spring,5.0734,5.6b,5,2021.25
2021,2021.2,Spring,4.3947,4.6,4,2021.25
2021,2021.2,Spring,4.9598,4.5,4,2021.25
2021,2021.2,Spring,6.6973,4.4,4,2021.25
2021,2021.2,Spring,7.0483,4.3,4,2021.25
2021,2021.2,Spring,7.8294,4.2,4,2021.25
2021,2021.2,Spring,8.4868,4.1,4,2021.25
2021,2021.2,Spring,8.6608,3.1,3,2021.25
2021,2021.2,Spring,7.6991,3.2,3,2021.25
2021,2021.2,Spring,7.4513,3.3,3,2021.25
2021,2021.2,Spring,6.7131,3.4,3,2021.25
2021,2021.2,Spring,4.2903,3.5,3,2021.25
2021,2021.2,Spring,4.2022,2.5,2,2021.25
2021,2021.2,Spring,6.7522,2.4,2,2021.25
2021,2021.2,Spring,6.9838,2.3,2,2021.25
2021,2021.2,Spring,7.2883,2.2,2,2021.25
2021,2021.2,Spring,8.1055,2.1,2,2021.25
2021,2021.2,Spring,9.2007,1.1,1,2021.25
2021,2021.2,Spring,7.4911,1.2,1,2021.25
2021,2021.2,Spring,7.7691,1.3,1,2021.25
2021,2021.2,Spring,7.268,1.4,1,2021.25
2021,2021.2,Spring,4.401,1.5,1,2021.25
2022,2022.1,Winter,8.3942,7.1,7,2022
2022,2022.1,Winter,8.2723,7.2,7,2022
2022,2022.1,Winter,8.2594,7.3,7,2022
2022,2022.1,Winter,8.1604,7.4,7,2022
2022,2022.1,Winter,7.7386,7.5,7,2022
2022,2022.1,Winter,3.7569,7.6,7,2022
2022,2022.1,Winter,3.9227,6.6,6,2022
2022,2022.2,Spring,8.7334,7.1,7,2022.25
2022,2022.2,Spring,8.9967,7.2,7,2022.25
2022,2022.2,Spring,9.0457,7.3,7,2022.25
2022,2022.2,Spring,9.1023,7.4,7,2022.25
2022,2022.2,Spring,8.1897,7.5,7,2022.25
2022,2022.2,Spring,4.7971,7.6,7,2022.25
2022,2022.2,Spring,4.4396,6.6,6,2022.25
2022,2022.3,Summer,5.9481,7.1,7,2022.5
2022,2022.3,Summer,5.9502,6.1,6,2022.5
2022,2022.3,Summer,7.4807,6.2,6,2022.5
2022,2022.3,Summer,7.4604,6.3,6,2022.5
2022,2022.3,Summer,7.3909,6.4,6,2022.5
2022,2022.3,Summer,6.9136,6.5,6,2022.5
2022,2022.3,Summer,5.8853,6.6,6,2022.5
2022,2022.3,Summer,4.6288,5.6,5,2022.5
2022,2022.3,Summer,5.7755,5.5,5,2022.5
2022,2022.3,Summer,6.9219,5.4,5,2022.5
2022,2022.3,Summer,7.7444,5.3,5,2022.5
2022,2022.3,Summer,6.8519,5.2,5,2022.5
2022,2022.3,Summer,7.4995,5.1,5,2022.5
2022,2022.3,Summer,7.6847,4.1,4,2022.5
2022,2022.3,Summer,7.1815,4.2,4,2022.5
2022,2022.3,Summer,7.4429,4.3,4,2022.5
2022,2022.3,Summer,6.5013,4.4,4,2022.5
2022,2022.3,Summer,5.1583,4.5,4,2022.5
2022,2022.3,Summer,4.7654,4.6,4,2022.5
2022,2022.3,Summer,4.9608,3.5,3,2022.5
2022,2022.3,Summer,6.5072,3.4,3,2022.5
2022,2022.3,Summer,6.2608,3.3,3,2022.5
2022,2022.3,Summer,7.0587,3.2,3,2022.5
2022,2022.3,Summer,8.8689,3.1,3,2022.5
2022,2022.3,Summer,7.6488,2.1,2,2022.5
2022,2022.3,Summer,6.8205,2.2,2,2022.5
2022,2022.3,Summer,5.9051,1.2,1,2022.5
2022,2022.3,Summer,7.9828,1.1,1,2022.5
2022,2022.4,Fall,4.7671,7.1,7,2022.75
2022,2022.4,Fall,5.5582,6.1,6,2022.75
2022,2022.4,Fall,4.7928,6.2,6,2022.75
2022,2022.4,Fall,5.2955,6.3,6,2022.75
2022,2022.4,Fall,4.9421,6.4,6,2022.75
2022,2022.4,Fall,5.1775,6.5,6,2022.75
2022,2022.4,Fall,4.2345,6.6,6,2022.75
